省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
上海,2026,综合,685,685,199,199,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,608,608,20,219,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,607,607,30,249,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,606,606,36,285,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,605,605,40,325,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,604,604,46,371,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,603,603,56,427,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,602,602,59,486,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,601,601,77,563,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,600,600,63,626,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,599,599,55,681,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,598,598,73,754,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,597,597,81,835,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,596,596,74,909,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,595,595,97,1006,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,594,594,102,1108,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,593,593,89,1197,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,592,592,124,1321,https://www.gk100.com/read_38838556.htm,1
上海,2026,综合,590,590,233,1554,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,589,589,113,1667,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,588,588,119,1786,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,587,587,123,1909,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,586,586,132,2041,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,585,585,134,2175,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,583,583,320,2495,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,582,582,152,2647,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,581,581,172,2819,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,580,580,161,2980,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,579,579,183,3163,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,578,578,175,3338,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,577,577,183,3521,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,576,576,187,3708,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,575,575,183,3891,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,574,574,178,4069,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,573,573,208,4277,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,572,572,183,4460,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,571,571,222,4682,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,570,570,204,4886,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,569,569,236,5122,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,568,568,208,5330,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,567,567,187,5517,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,566,566,236,5753,https://www.gk100.com/read_38838556.htm,2
上海,2026,综合,565,565,209,5962,https://www.gk100.com/read_38838556.htm,2
