省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
云南,2026,历史,661,661,50,50,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,660,660,4,54,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,659,659,3,57,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,658,658,1,58,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,657,657,2,60,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,656,656,3,63,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,655,655,8,71,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,654,654,8,79,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,653,653,9,88,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,652,652,12,100,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,651,651,10,110,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,650,650,16,126,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,649,649,13,139,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,648,648,14,153,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,647,647,17,170,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,646,646,8,178,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,645,645,18,196,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,644,644,18,214,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,643,643,14,228,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,642,642,10,238,https://www.gk100.com/read_20345931.htm,1
云南,2026,历史,640,640,56,294,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,639,639,26,320,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,638,638,19,339,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,637,637,30,369,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,636,636,31,400,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,635,635,36,436,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,634,634,28,464,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,633,633,27,491,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,632,632,31,522,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,631,631,43,565,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,630,630,45,610,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,629,629,41,651,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,628,628,45,696,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,627,627,39,735,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,626,626,47,782,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,625,625,39,821,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,624,624,46,867,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,623,623,54,921,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,622,622,43,964,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,621,621,52,1016,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,620,620,53,1069,https://www.gk100.com/read_20345931.htm,2
云南,2026,历史,618,618,115,1184,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,617,617,57,1241,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,616,616,67,1308,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,615,615,69,1377,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,614,614,62,1439,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,613,613,77,1516,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,612,612,79,1595,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,611,611,78,1673,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,610,610,83,1756,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,609,609,85,1841,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,608,608,104,1945,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,607,607,85,2030,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,606,606,94,2124,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,605,605,95,2219,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,604,604,93,2312,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,603,603,101,2413,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,602,602,96,2509,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,601,601,115,2624,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,600,600,114,2738,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,599,599,101,2839,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,598,598,118,2957,https://www.gk100.com/read_20345931.htm,3
云南,2026,历史,596,596,214,3171,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,595,595,117,3288,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,594,594,134,3422,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,593,593,122,3544,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,592,592,137,3681,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,591,591,121,3802,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,590,590,131,3933,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,589,589,124,4057,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,588,588,142,4199,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,587,587,152,4351,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,586,586,146,4497,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,585,585,147,4644,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,584,584,170,4814,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,583,583,188,5002,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,582,582,156,5158,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,581,581,160,5318,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,580,580,194,5512,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,579,579,163,5675,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,578,578,175,5850,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,577,577,182,6032,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,576,576,182,6214,https://www.gk100.com/read_20345931.htm,4
云南,2026,历史,574,574,373,6587,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,573,573,182,6769,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,572,572,195,6964,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,571,571,214,7178,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,570,570,212,7390,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,569,569,185,7575,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,568,568,186,7761,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,567,567,222,7983,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,566,566,212,8195,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,565,565,215,8410,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,564,564,219,8629,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,563,563,216,8845,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,562,562,259,9104,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,561,561,224,9328,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,560,560,199,9527,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,559,559,225,9752,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,558,558,246,9998,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,557,557,252,10250,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,556,556,248,10498,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,555,555,242,10740,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,554,554,255,10995,https://www.gk100.com/read_20345931.htm,5
云南,2026,历史,552,552,486,11481,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,551,551,251,11732,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,550,550,241,11973,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,549,549,288,12261,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,548,548,290,12551,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,547,547,261,12812,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,546,546,290,13102,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,545,545,288,13390,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,544,544,256,13646,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,543,543,294,13940,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,542,542,301,14241,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,541,541,300,14541,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,540,540,309,14850,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,539,539,271,15121,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,538,538,305,15426,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,537,537,330,15756,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,536,536,320,16076,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,535,535,332,16408,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,534,534,320,16728,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,533,533,335,17063,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,532,532,337,17400,https://www.gk100.com/read_20345931.htm,6
云南,2026,历史,530,530,641,18041,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,529,529,338,18379,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,528,528,367,18746,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,527,527,347,19093,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,526,526,342,19435,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,525,525,333,19768,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,524,524,318,20086,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,523,523,367,20453,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,522,522,354,20807,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,521,521,341,21148,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,520,520,342,21490,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,519,519,344,21834,https://www.gk100.com/read_20345931.htm,7
云南,2026,历史,518,518,368,22202,https://www.gk100.com/read_20345931.htm,7
