省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
云南,2026,物理,683及以上,683,52,52,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,682,682,3,55,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,681,681,3,58,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,680,680,4,62,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,679,679,5,67,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,678,678,12,79,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,677,677,9,88,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,676,676,9,97,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,675,675,5,102,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,674,674,18,120,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,673,673,17,137,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,672,672,11,148,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,671,671,18,166,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,670,670,21,187,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,669,669,22,209,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,668,668,24,233,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,667,667,28,261,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,666,666,26,287,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,665,665,18,305,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,664,664,24,329,https://www.gk100.com/read_20345931.htm,1
云南,2026,物理,662,662,55,384,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,661,661,30,414,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,660,660,45,459,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,659,659,45,504,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,658,658,46,550,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,657,657,48,598,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,656,656,56,654,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,655,655,60,714,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,654,654,63,777,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,653,653,65,842,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,652,652,65,907,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,651,651,70,977,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,650,650,80,1057,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,649,649,72,1129,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,648,648,77,1206,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,647,647,98,1304,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,646,646,71,1375,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,645,645,80,1455,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,644,644,94,1549,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,643,643,94,1643,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,642,642,94,1737,https://www.gk100.com/read_20345931.htm,2
云南,2026,物理,640,640,237,1974,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,639,639,129,2103,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,638,638,115,2218,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,637,637,148,2366,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,636,636,136,2502,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,635,635,134,2636,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,634,634,140,2776,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,633,633,144,2920,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,632,632,155,3075,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,631,631,172,3247,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,630,630,174,3421,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,629,629,182,3603,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,628,628,181,3784,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,627,627,181,3965,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,626,626,222,4187,https://www.gk100.com/read_20345931.htm,3
云南,2026,物理,625,625,185,4372,https://www.gk100.com/read_20345931.htm,3
