省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
内蒙古,2026,历史,670,670,12,12,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,669,669,2,14,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,668,668,3,17,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,667,667,1,18,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,666,666,3,21,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,665,665,5,26,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,664,664,2,28,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,663,663,2,30,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,662,662,1,31,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,661,661,1,32,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,660,660,7,39,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,659,659,5,44,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,658,658,3,47,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,657,657,4,51,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,656,656,2,53,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,655,655,7,60,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,654,654,5,65,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,653,653,7,72,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,652,652,8,80,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,651,651,5,85,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,650,650,6,91,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,649,649,6,97,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,648,648,11,108,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,647,647,6,114,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,646,646,7,121,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,645,645,9,130,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,644,644,11,141,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,643,643,11,152,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,642,642,8,160,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,641,641,12,172,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,640,640,16,188,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,639,639,7,195,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,历史,638,638,7,202,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,637,637,15,217,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,636,636,12,229,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,635,635,21,250,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,634,634,10,260,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,633,633,17,277,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,632,632,25,302,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,631,631,23,325,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,630,630,17,342,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,629,629,24,366,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,628,628,14,380,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,627,627,14,394,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,626,626,22,416,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,625,625,23,439,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,624,624,27,466,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,623,623,25,491,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,622,622,26,517,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,621,621,19,536,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,620,620,34,570,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,619,619,24,594,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,618,618,27,621,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,617,617,34,655,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,616,616,22,677,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,615,615,36,713,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,614,614,22,735,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,613,613,29,764,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,612,612,24,788,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,611,611,24,812,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,610,610,33,845,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,609,609,29,874,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,608,608,38,912,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,607,607,28,940,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,606,606,24,964,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,605,605,37,1001,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,历史,604,604,30,1031,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,603,603,35,1066,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,602,602,36,1102,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,601,601,38,1140,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,600,600,35,1175,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,599,599,31,1206,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,598,598,34,1240,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,597,597,40,1280,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,596,596,39,1319,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,595,595,36,1355,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,594,594,48,1403,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,593,593,33,1436,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,592,592,37,1473,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,591,591,45,1518,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,590,590,51,1569,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,589,589,49,1618,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,588,588,44,1662,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,587,587,37,1699,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,586,586,45,1744,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,585,585,47,1791,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,584,584,40,1831,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,583,583,57,1888,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,582,582,49,1937,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,581,581,51,1988,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,580,580,36,2024,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,579,579,51,2075,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,578,578,51,2126,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,577,577,54,2180,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,576,576,62,2242,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,575,575,59,2301,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,574,574,69,2370,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,573,573,49,2419,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,572,572,50,2469,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,571,571,53,2522,https://www.gk100.com/read_3904405.htm,3
内蒙古,2026,历史,570,570,74,2596,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,569,569,60,2656,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,568,568,58,2714,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,567,567,65,2779,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,566,566,66,2845,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,565,565,58,2903,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,564,564,61,2964,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,563,563,56,3020,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,562,562,53,3073,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,561,561,58,3131,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,560,560,72,3203,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,559,559,69,3272,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,558,558,71,3343,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,557,557,71,3414,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,556,556,64,3478,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,555,555,63,3541,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,554,554,51,3592,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,553,553,68,3660,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,552,552,69,3729,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,551,551,61,3790,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,550,550,78,3868,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,549,549,71,3939,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,548,548,66,4005,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,547,547,78,4083,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,546,546,73,4156,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,545,545,71,4227,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,544,544,83,4310,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,543,543,87,4397,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,542,542,91,4488,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,541,541,66,4554,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,540,540,81,4635,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,539,539,88,4723,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,538,538,78,4801,https://www.gk100.com/read_3904405.htm,4
内蒙古,2026,历史,536,536,152,4953,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,535,535,102,5055,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,534,534,82,5137,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,533,533,70,5207,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,532,532,99,5306,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,531,531,91,5397,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,530,530,89,5486,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,529,529,95,5581,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,528,528,70,5651,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,527,527,81,5732,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,526,526,104,5836,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,525,525,89,5925,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,524,524,92,6017,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,523,523,99,6116,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,522,522,82,6198,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,521,521,89,6287,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,520,520,87,6374,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,519,519,101,6475,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,518,518,76,6551,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,517,517,91,6642,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,516,516,85,6727,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,515,515,94,6821,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,514,514,108,6929,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,513,513,91,7020,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,512,512,131,7151,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,511,511,96,7247,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,510,510,94,7341,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,509,509,80,7421,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,508,508,96,7517,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,507,507,115,7632,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,506,506,99,7731,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,505,505,89,7820,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,504,504,108,7928,https://www.gk100.com/read_3904405.htm,5
内蒙古,2026,历史,503,503,118,8046,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,502,502,103,8149,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,501,501,113,8262,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,500,500,94,8356,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,499,499,99,8455,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,498,498,111,8566,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,497,497,100,8666,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,496,496,112,8778,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,495,495,119,8897,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,494,494,103,9000,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,493,493,126,9126,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,492,492,109,9235,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,491,491,117,9352,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,490,490,129,9481,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,489,489,102,9583,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,488,488,121,9704,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,487,487,124,9828,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,486,486,119,9947,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,485,485,115,10062,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,484,484,104,10166,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,483,483,102,10268,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,482,482,132,10400,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,481,481,92,10492,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,480,480,138,10630,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,479,479,116,10746,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,478,478,131,10877,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,477,477,107,10984,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,476,476,105,11089,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,475,475,116,11205,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,474,474,124,11329,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,473,473,125,11454,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,472,472,133,11587,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,471,471,119,11706,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,470,470,116,11822,https://www.gk100.com/read_3904405.htm,6
内蒙古,2026,历史,469,469,133,11955,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,468,468,131,12086,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,467,467,118,12204,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,466,466,130,12334,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,465,465,125,12459,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,464,464,114,12573,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,463,463,112,12685,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,462,462,115,12800,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,461,461,108,12908,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,460,460,117,13025,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,459,459,141,13166,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,458,458,137,13303,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,457,457,109,13412,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,456,456,148,13560,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,455,455,161,13721,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,454,454,108,13829,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,453,453,124,13953,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,452,452,140,14093,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,451,451,113,14206,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,450,450,136,14342,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,449,449,126,14468,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,448,448,122,14590,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,447,447,110,14700,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,446,446,126,14826,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,445,445,127,14953,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,444,444,130,15083,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,443,443,137,15220,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,442,442,111,15331,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,441,441,124,15455,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,440,440,115,15570,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,439,439,129,15699,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,438,438,127,15826,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,437,437,141,15967,https://www.gk100.com/read_3904405.htm,7
内蒙古,2026,历史,435,435,251,16218,https://www.gk100.com/read_3904405.htm,8
内蒙古,2026,历史,434,434,108,16326,https://www.gk100.com/read_3904405.htm,8
