省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
内蒙古,2026,物理,703,703,11,11,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,702,702,1,12,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,701,701,0,12,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,700,700,3,15,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,699,699,1,16,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,698,698,5,21,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,697,697,2,23,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,696,696,1,24,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,695,695,5,29,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,694,694,3,32,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,693,693,7,39,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,692,692,5,44,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,691,691,3,47,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,690,690,3,50,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,689,689,11,61,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,688,688,5,66,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,687,687,5,71,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,686,686,10,81,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,685,685,8,89,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,684,684,8,97,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,683,683,6,103,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,682,682,11,114,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,681,681,10,124,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,680,680,13,137,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,679,679,15,152,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,678,678,12,164,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,677,677,15,179,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,676,676,23,202,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,675,675,25,227,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,674,674,16,243,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,673,673,21,264,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,672,672,19,283,https://www.gk100.com/read_3904405.htm,1
内蒙古,2026,物理,671,671,21,304,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,物理,670,670,25,329,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,物理,669,669,28,357,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,物理,668,668,25,382,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,物理,667,667,30,412,https://www.gk100.com/read_3904405.htm,2
内蒙古,2026,物理,666,666,26,438,https://www.gk100.com/read_3904405.htm,2
