省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
吉林,2026,历史,678及以上,678,11,11,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,677,677,1,12,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,676,676,2,14,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,675,675,2,16,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,674,674,0,16,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,673,673,2,18,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,672,672,2,20,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,671,671,3,23,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,670,670,5,28,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,669,669,4,32,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,668,668,6,38,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,667,667,4,42,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,666,666,3,45,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,665,665,5,50,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,664,664,4,54,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,663,663,3,57,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,662,662,5,62,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,661,661,3,65,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,660,660,4,69,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,659,659,3,72,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,658,658,7,79,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,657,657,6,85,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,656,656,2,87,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,655,655,3,90,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,654,654,4,94,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,653,653,7,101,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,652,652,5,106,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,651,651,4,110,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,650,650,10,120,https://www.gk100.com/read_13295758.htm,1
吉林,2026,历史,648,648,10,130,https://www.gk100.com/read_13295758.htm,2
吉林,2026,历史,647,647,7,137,https://www.gk100.com/read_13295758.htm,2
吉林,2026,历史,646,646,8,145,https://www.gk100.com/read_13295758.htm,2
吉林,2026,历史,645,645,14,159,https://www.gk100.com/read_13295758.htm,2
吉林,2026,历史,644,644,12,171,https://www.gk100.com/read_13295758.htm,2
吉林,2026,历史,643,643,4,175,https://www.gk100.com/read_13295758.htm,2
吉林,2026,历史,642,642,13,188,https://www.gk100.com/read_13295758.htm,2
吉林,2026,历史,641,641,14,202,https://www.gk100.com/read_13295758.htm,2
吉林,2026,历史,640,640,12,214,https://www.gk100.com/read_13295758.htm,2
