省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
四川,2026,历史,663及以上,663,30,30,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,662,662,4,34,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,661,661,5,39,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,660,660,6,45,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,659,659,7,52,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,658,658,9,61,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,657,657,12,73,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,656,656,17,90,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,655,655,9,99,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,654,654,7,106,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,653,653,19,125,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,652,652,12,137,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,651,651,19,156,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,650,650,24,180,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,649,649,19,199,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,648,648,29,228,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,647,647,21,249,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,646,646,27,276,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,645,645,31,307,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,644,644,30,337,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,643,643,27,364,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,642,642,43,407,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,641,641,37,444,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,640,640,32,476,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,639,639,39,515,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,638,638,43,558,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,637,637,51,609,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,636,636,44,653,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,635,635,42,695,https://www.gk100.com/read_16311277.htm,1
四川,2026,历史,634,634,68,763,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,633,633,50,813,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,632,632,50,863,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,631,631,63,926,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,630,630,62,988,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,629,629,56,1044,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,628,628,59,1103,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,627,627,70,1173,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,626,626,71,1244,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,625,625,94,1338,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,624,624,92,1430,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,623,623,83,1513,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,622,622,75,1588,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,621,621,93,1681,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,620,620,106,1787,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,619,619,93,1880,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,618,618,94,1974,https://www.gk100.com/read_16311277.htm,2
四川,2026,历史,617,617,96,2070,https://www.gk100.com/read_16311277.htm,2
