省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
四川,2026,物理,686,686,54,54,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,685,685,12,66,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,684,684,12,78,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,683,683,12,90,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,682,682,11,101,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,681,681,13,114,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,680,680,8,122,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,679,679,14,136,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,678,678,16,152,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,677,677,28,180,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,676,676,28,208,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,675,675,20,228,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,674,674,25,253,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,673,673,31,284,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,672,672,40,324,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,671,671,35,359,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,670,670,42,401,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,669,669,36,437,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,668,668,43,480,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,667,667,42,522,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,666,666,66,588,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,665,665,62,650,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,664,664,68,718,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,663,663,67,785,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,662,662,68,853,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,661,661,66,919,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,660,660,84,1003,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,659,659,82,1085,https://www.gk100.com/read_16311277.htm,1
四川,2026,物理,657,657,219,1304,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,656,656,112,1416,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,655,655,125,1541,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,654,654,115,1656,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,653,653,135,1791,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,652,652,143,1934,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,651,651,153,2087,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,650,650,124,2211,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,649,649,152,2363,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,648,648,168,2531,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,647,647,157,2688,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,646,646,166,2854,https://www.gk100.com/read_16311277.htm,2
四川,2026,物理,645,645,197,3051,https://www.gk100.com/read_16311277.htm,2
