省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
天津,2026,综合,680,680,197,197,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,679,679,32,229,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,678,678,30,259,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,677,677,25,284,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,676,676,24,308,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,675,675,21,329,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,674,674,32,361,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,673,673,25,386,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,672,672,34,420,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,671,671,41,461,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,670,670,37,498,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,669,669,37,535,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,668,668,45,580,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,667,667,38,618,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,666,666,50,668,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,665,665,44,712,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,664,664,58,770,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,663,663,56,826,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,662,662,51,877,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,661,661,66,943,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,660,660,56,999,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,659,659,83,1082,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,658,658,62,1144,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,657,657,72,1216,https://www.gk100.com/read_3471944.htm,1
天津,2026,综合,656,656,87,1303,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,655,655,73,1376,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,654,654,83,1459,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,653,653,86,1545,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,652,652,88,1633,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,651,651,79,1712,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,650,650,110,1822,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,649,649,84,1906,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,648,648,105,2011,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,647,647,93,2104,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,646,646,110,2214,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,645,645,102,2316,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,644,644,116,2432,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,643,643,117,2549,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,642,642,135,2684,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,641,641,109,2793,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,640,640,112,2905,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,639,639,110,3015,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,638,638,115,3130,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,637,637,117,3247,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,636,636,128,3375,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,635,635,137,3512,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,634,634,117,3629,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,633,633,151,3780,https://www.gk100.com/read_3471944.htm,2
天津,2026,综合,632,632,125,3905,https://www.gk100.com/read_3471944.htm,2
