省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
宁夏,2026,历史,624及以上,624,53,53,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,623,623,1,54,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,622,622,2,56,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,621,621,2,58,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,620,620,4,62,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,619,619,1,63,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,618,618,3,66,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,617,617,1,67,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,616,616,4,71,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,615,615,6,77,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,614,614,2,79,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,613,613,3,82,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,612,612,5,87,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,611,611,5,92,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,610,610,2,94,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,609,609,3,97,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,608,608,6,103,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,607,607,2,105,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,606,606,7,112,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,605,605,5,117,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,604,604,2,119,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,603,603,6,125,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,602,602,3,128,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,601,601,1,129,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,600,600,6,135,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,599,599,4,139,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,598,598,3,142,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,597,597,6,148,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,历史,596,596,6,154,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,595,595,6,160,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,594,594,6,166,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,593,593,10,176,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,592,592,10,186,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,591,591,9,195,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,590,590,5,200,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,589,589,8,208,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,588,588,4,212,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,587,587,7,219,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,586,586,11,230,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,585,585,12,242,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,584,584,10,252,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,583,583,10,262,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,582,582,4,266,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,581,581,8,274,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,580,580,17,291,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,579,579,12,303,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,578,578,6,309,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,577,577,13,322,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,576,576,13,335,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,575,575,11,346,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,574,574,6,352,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,573,573,8,360,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,572,572,12,372,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,571,571,14,386,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,570,570,15,401,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,569,569,13,414,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,568,568,9,423,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,567,567,12,435,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,历史,566,566,12,447,https://www.gk100.com/read_20505044.htm,3
宁夏,2026,历史,565,565,16,463,https://www.gk100.com/read_20505044.htm,3
宁夏,2026,历史,564,564,18,481,https://www.gk100.com/read_20505044.htm,3
宁夏,2026,历史,563,563,20,501,https://www.gk100.com/read_20505044.htm,3
宁夏,2026,历史,562,562,21,522,https://www.gk100.com/read_20505044.htm,3
