省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
宁夏,2026,物理,658,658,53,53,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,657,657,3,56,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,656,656,2,58,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,655,655,4,62,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,654,654,1,63,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,653,653,8,71,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,652,652,4,75,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,651,651,6,81,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,650,650,1,82,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,649,649,4,86,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,648,648,7,93,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,647,647,11,104,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,646,646,7,111,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,645,645,5,116,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,644,644,8,124,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,643,643,9,133,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,642,642,8,141,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,641,641,11,152,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,640,640,10,162,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,639,639,15,177,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,638,638,12,189,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,637,637,7,196,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,636,636,14,210,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,635,635,7,217,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,634,634,17,234,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,633,633,10,244,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,632,632,10,254,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,631,631,23,277,https://www.gk100.com/read_20505044.htm,1
宁夏,2026,物理,630,630,15,292,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,629,629,13,305,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,628,628,13,318,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,627,627,12,330,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,626,626,18,348,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,625,625,13,361,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,624,624,14,375,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,623,623,17,392,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,622,622,21,413,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,621,621,12,425,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,620,620,20,445,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,619,619,18,463,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,618,618,22,485,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,617,617,25,510,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,616,616,14,524,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,615,615,25,549,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,614,614,27,576,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,613,613,24,600,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,612,612,23,623,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,611,611,27,650,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,610,610,29,679,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,609,609,25,704,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,608,608,19,723,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,607,607,18,741,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,606,606,31,772,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,605,605,26,798,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,604,604,32,830,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,603,603,32,862,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,602,602,33,895,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,601,601,30,925,https://www.gk100.com/read_20505044.htm,2
宁夏,2026,物理,600,600,44,969,https://www.gk100.com/read_20505044.htm,3
宁夏,2026,物理,599,599,26,995,https://www.gk100.com/read_20505044.htm,3
宁夏,2026,物理,598,598,34,1029,https://www.gk100.com/read_20505044.htm,3
宁夏,2026,物理,597,597,38,1067,https://www.gk100.com/read_20505044.htm,3
宁夏,2026,物理,596,596,36,1103,https://www.gk100.com/read_20505044.htm,3
