省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
安徽,2026,历史,685,685,208,208,https://www.gk100.com/read_15568505.htm,3
安徽,2026,历史,643,643,11,219,https://www.gk100.com/read_15568505.htm,1
安徽,2026,历史,642,642,13,232,https://www.gk100.com/read_15568505.htm,1
安徽,2026,历史,641,641,20,252,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,640,640,16,268,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,639,639,21,289,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,638,638,27,316,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,637,637,27,343,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,636,636,22,365,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,635,635,25,390,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,634,634,28,418,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,633,633,39,457,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,632,632,37,494,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,631,631,30,524,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,630,630,46,570,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,629,629,46,616,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,628,628,56,672,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,627,627,59,731,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,626,626,55,786,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,625,625,49,835,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,624,624,59,894,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,623,623,68,962,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,622,622,59,1021,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,621,621,74,1095,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,620,620,71,1166,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,619,619,61,1227,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,618,618,75,1302,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,617,617,66,1368,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,616,616,68,1436,https://www.gk100.com/read_15568505.htm,2
安徽,2026,历史,615,615,94,1530,https://www.gk100.com/read_15568505.htm,2
