省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
安徽,2026,物理,705,705,18,18,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,704,704,6,24,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,703,703,11,35,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,702,702,11,46,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,701,701,8,54,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,700,700,15,69,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,699,699,6,75,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,698,698,14,89,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,697,697,15,104,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,696,696,15,119,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,695,695,21,140,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,694,694,30,170,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,693,693,24,194,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,692,692,36,230,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,691,691,31,261,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,690,690,44,305,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,689,689,48,353,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,688,688,47,400,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,687,687,55,455,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,686,686,49,504,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,685,685,62,566,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,684,684,64,630,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,683,683,72,702,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,682,682,63,765,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,681,681,74,839,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,680,680,79,918,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,679,679,82,1000,https://www.gk100.com/read_15568505.htm,1
安徽,2026,物理,678,678,97,1097,https://www.gk100.com/read_15568505.htm,1
