省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
山东,2026,综合,698及以上,698,49,49,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,697,697,7,56,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,696,696,14,70,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,695,695,15,85,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,694,694,17,102,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,693,693,21,123,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,692,692,22,145,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,691,691,26,171,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,690,690,27,198,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,689,689,36,234,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,688,688,34,268,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,687,687,30,298,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,686,686,34,332,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,685,685,43,375,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,684,684,33,408,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,683,683,39,447,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,682,682,58,505,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,681,681,64,569,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,680,680,68,637,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,679,679,59,696,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,678,678,56,752,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,677,677,71,823,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,676,676,76,899,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,675,675,81,980,https://www.gk100.com/read_16466181.htm,1
山东,2026,综合,673,673,194,1174,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,672,672,104,1278,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,671,671,118,1396,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,670,670,104,1500,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,669,669,128,1628,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,668,668,113,1741,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,667,667,120,1861,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,666,666,130,1991,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,665,665,110,2101,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,664,664,154,2255,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,663,663,127,2382,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,662,662,158,2540,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,661,661,156,2696,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,660,660,191,2887,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,659,659,154,3041,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,658,658,192,3233,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,657,657,205,3438,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,656,656,219,3657,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,655,655,191,3848,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,654,654,231,4079,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,653,653,226,4305,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,652,652,220,4525,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,651,651,256,4781,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,650,650,246,5027,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,649,649,260,5287,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,648,648,216,5503,https://www.gk100.com/read_16466181.htm,2
山东,2026,综合,647,647,256,5759,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,646,646,300,6059,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,645,645,252,6311,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,644,644,269,6580,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,643,643,312,6892,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,642,642,338,7230,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,641,641,290,7520,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,640,640,343,7863,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,639,639,311,8174,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,638,638,356,8530,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,637,637,341,8871,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,636,636,349,9220,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,635,635,402,9622,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,634,634,402,10024,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,633,633,427,10451,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,632,632,423,10874,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,631,631,411,11285,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,630,630,441,11726,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,629,629,439,12165,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,628,628,444,12609,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,627,627,451,13060,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,626,626,501,13561,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,625,625,515,14076,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,624,624,472,14548,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,623,623,529,15077,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,622,622,517,15594,https://www.gk100.com/read_16466181.htm,3
山东,2026,综合,621,621,523,16117,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,620,620,511,16628,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,619,619,557,17185,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,618,618,568,17753,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,617,617,586,18339,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,616,616,574,18913,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,615,615,588,19501,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,614,614,641,20142,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,613,613,650,20792,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,612,612,662,21454,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,611,611,630,22084,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,610,610,680,22764,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,609,609,652,23416,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,608,608,673,24089,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,607,607,705,24794,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,606,606,737,25531,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,605,605,686,26217,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,604,604,775,26992,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,603,603,789,27781,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,602,602,792,28573,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,601,601,801,29374,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,600,600,818,30192,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,599,599,811,31003,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,598,598,889,31892,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,597,597,894,32786,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,596,596,889,33675,https://www.gk100.com/read_16466181.htm,4
山东,2026,综合,594,594,1857,35532,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,593,593,913,36445,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,592,592,918,37363,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,591,591,1043,38406,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,590,590,981,39387,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,589,589,974,40361,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,588,588,1055,41416,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,587,587,1032,42448,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,586,586,1077,43525,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,585,585,1071,44596,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,584,584,1053,45649,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,583,583,1088,46737,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,582,582,1177,47914,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,581,581,1191,49105,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,580,580,1191,50296,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,579,579,1167,51463,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,578,578,1266,52729,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,577,577,1220,53949,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,576,576,1278,55227,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,575,575,1318,56545,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,574,574,1277,57822,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,573,573,1266,59088,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,572,572,1372,60460,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,571,571,1379,61839,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,570,570,1414,63253,https://www.gk100.com/read_16466181.htm,5
山东,2026,综合,568,568,2828,66081,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,567,567,1421,67502,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,566,566,1417,68919,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,565,565,1436,70355,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,564,564,1521,71876,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,563,563,1510,73386,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,562,562,1537,74923,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,561,561,1614,76537,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,560,560,1615,78152,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,559,559,1584,79736,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,558,558,1597,81333,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,557,557,1696,83029,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,556,556,1764,84793,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,555,555,1697,86490,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,554,554,1732,88222,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,553,553,1751,89973,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,552,552,1737,91710,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,551,551,1794,93504,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,550,550,1730,95234,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,549,549,1831,97065,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,548,548,1852,98917,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,547,547,1846,100763,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,546,546,1836,102599,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,545,545,1908,104507,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,544,544,1912,106419,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,543,543,1879,108298,https://www.gk100.com/read_16466181.htm,6
山东,2026,综合,542,542,2050,110348,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,541,541,1994,112342,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,540,540,2029,114371,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,539,539,1963,116334,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,538,538,1980,118314,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,537,537,2079,120393,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,536,536,1999,122392,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,535,535,2121,124513,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,534,534,2156,126669,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,533,533,2195,128864,https://www.gk100.com/read_16466181.htm,7
山东,2026,综合,532,532,2076,130940,https://www.gk100.com/read_16466181.htm,7
