省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
山西,2026,历史,669及以上,669,9,9,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,668,668,4,13,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,667,667,3,16,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,666,666,2,18,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,665,665,3,21,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,664,664,1,22,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,663,663,1,23,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,662,662,1,24,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,661,661,3,27,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,660,660,2,29,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,659,659,6,35,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,658,658,3,38,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,657,657,11,49,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,656,656,8,57,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,655,655,3,60,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,654,654,6,66,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,653,653,5,71,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,652,652,8,79,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,651,651,10,89,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,650,650,7,96,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,649,649,7,103,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,648,648,10,113,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,647,647,14,127,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,646,646,10,137,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,645,645,14,151,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,644,644,11,162,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,643,643,18,180,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,642,642,6,186,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,641,641,13,199,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,640,640,19,218,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,639,639,16,234,https://www.gk100.com/read_19254973.htm,1
山西,2026,历史,638,638,10,244,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,637,637,20,264,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,636,636,12,276,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,635,635,24,300,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,634,634,14,314,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,633,633,24,338,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,632,632,21,359,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,631,631,22,381,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,630,630,21,402,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,629,629,24,426,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,628,628,19,445,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,627,627,35,480,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,626,626,24,504,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,625,625,22,526,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,624,624,30,556,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,623,623,32,588,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,622,622,30,618,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,621,621,27,645,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,620,620,44,689,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,619,619,37,726,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,618,618,46,772,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,617,617,43,815,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,616,616,36,851,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,615,615,43,894,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,614,614,40,934,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,613,613,35,969,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,612,612,37,1006,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,611,611,47,1053,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,610,610,54,1107,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,609,609,50,1157,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,608,608,43,1200,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,607,607,49,1249,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,606,606,52,1301,https://www.gk100.com/read_19254973.htm,2
山西,2026,历史,605,605,62,1363,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,604,604,62,1425,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,603,603,60,1485,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,602,602,51,1536,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,601,601,59,1595,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,600,600,54,1649,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,599,599,62,1711,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,598,598,58,1769,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,597,597,57,1826,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,596,596,71,1897,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,595,595,73,1970,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,594,594,63,2033,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,593,593,71,2104,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,592,592,81,2185,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,591,591,65,2250,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,590,590,71,2321,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,589,589,66,2387,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,588,588,93,2480,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,587,587,95,2575,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,586,586,74,2649,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,585,585,114,2763,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,584,584,95,2858,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,583,583,91,2949,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,582,582,94,3043,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,581,581,85,3128,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,580,580,82,3210,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,579,579,103,3313,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,578,578,104,3417,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,577,577,90,3507,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,576,576,91,3598,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,575,575,108,3706,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,574,574,103,3809,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,573,573,109,3918,https://www.gk100.com/read_19254973.htm,3
山西,2026,历史,572,572,94,4012,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,571,571,98,4110,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,570,570,104,4214,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,569,569,117,4331,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,568,568,100,4431,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,567,567,111,4542,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,566,566,111,4653,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,565,565,108,4761,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,564,564,103,4864,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,563,563,134,4998,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,562,562,112,5110,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,561,561,121,5231,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,560,560,127,5358,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,559,559,131,5489,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,558,558,132,5621,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,557,557,122,5743,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,556,556,112,5855,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,555,555,112,5967,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,554,554,148,6115,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,553,553,126,6241,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,552,552,144,6385,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,551,551,153,6538,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,550,550,143,6681,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,549,549,136,6817,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,548,548,158,6975,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,547,547,129,7104,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,546,546,139,7243,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,545,545,152,7395,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,544,544,161,7556,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,543,543,156,7712,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,542,542,153,7865,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,541,541,145,8010,https://www.gk100.com/read_19254973.htm,4
山西,2026,历史,539,539,331,8341,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,538,538,171,8512,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,537,537,144,8656,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,536,536,144,8800,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,535,535,191,8991,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,534,534,176,9167,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,533,533,176,9343,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,532,532,193,9536,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,531,531,167,9703,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,530,530,182,9885,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,529,529,169,10054,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,528,528,165,10219,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,527,527,157,10376,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,526,526,171,10547,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,525,525,184,10731,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,524,524,190,10921,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,523,523,175,11096,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,522,522,183,11279,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,521,521,195,11474,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,520,520,196,11670,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,519,519,182,11852,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,518,518,202,12054,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,517,517,197,12251,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,516,516,178,12429,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,515,515,189,12618,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,514,514,199,12817,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,513,513,195,13012,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,512,512,214,13226,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,511,511,215,13441,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,510,510,188,13629,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,509,509,211,13840,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,508,508,210,14050,https://www.gk100.com/read_19254973.htm,5
山西,2026,历史,506,506,436,14486,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,505,505,189,14675,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,504,504,206,14881,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,503,503,205,15086,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,502,502,222,15308,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,501,501,200,15508,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,500,500,224,15732,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,499,499,212,15944,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,498,498,224,16168,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,497,497,222,16390,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,496,496,222,16612,https://www.gk100.com/read_19254973.htm,6
山西,2026,历史,495,495,215,16827,https://www.gk100.com/read_19254973.htm,6
