省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
山西,2026,物理,696,696,12,12,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,695,695,1,13,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,694,694,1,14,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,693,693,5,19,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,692,692,3,22,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,691,691,6,28,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,690,690,5,33,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,689,689,6,39,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,688,688,8,47,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,687,687,7,54,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,686,686,18,72,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,685,685,9,81,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,684,684,14,95,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,683,683,14,109,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,682,682,16,125,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,681,681,20,145,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,680,680,22,167,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,679,679,21,188,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,678,678,17,205,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,677,677,27,232,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,676,676,34,266,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,675,675,34,300,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,674,674,33,333,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,673,673,36,369,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,672,672,36,405,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,671,671,37,442,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,670,670,40,482,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,669,669,48,530,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,668,668,41,571,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,667,667,49,620,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,666,666,49,669,https://www.gk100.com/read_19254973.htm,1
山西,2026,物理,664,664,117,786,https://www.gk100.com/read_19254973.htm,2
山西,2026,物理,662,662,119,905,https://www.gk100.com/read_19254973.htm,2
山西,2026,物理,661,661,71,976,https://www.gk100.com/read_19254973.htm,2
山西,2026,物理,660,660,61,1037,https://www.gk100.com/read_19254973.htm,2
山西,2026,物理,659,659,72,1109,https://www.gk100.com/read_19254973.htm,2
山西,2026,物理,658,658,86,1195,https://www.gk100.com/read_19254973.htm,2
山西,2026,物理,657,657,69,1264,https://www.gk100.com/read_19254973.htm,2
山西,2026,物理,656,656,77,1341,https://www.gk100.com/read_19254973.htm,2
山西,2026,物理,655,655,89,1430,https://www.gk100.com/read_19254973.htm,2
山西,2026,物理,654,654,96,1526,https://www.gk100.com/read_19254973.htm,2
