省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
广东,2026,历史,669及以上,669,16,16,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,668,668,0,16,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,667,667,1,17,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,666,666,1,18,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,665,665,2,20,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,664,664,0,20,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,663,663,3,23,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,662,662,0,23,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,661,661,2,25,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,660,660,7,32,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,659,659,4,36,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,658,658,1,37,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,657,657,7,44,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,656,656,5,49,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,655,655,11,60,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,654,654,7,67,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,653,653,10,77,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,652,652,5,82,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,651,651,6,88,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,650,650,13,101,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,649,649,11,112,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,648,648,16,128,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,647,647,20,148,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,646,646,15,163,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,645,645,11,174,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,644,644,9,183,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,643,643,13,196,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,642,642,24,220,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,641,641,20,240,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,640,640,13,253,https://www.gk100.com/read_15984542.htm,1
广东,2026,历史,639,639,20,273,https://www.gk100.com/read_15984542.htm,2
广东,2026,历史,638,638,22,295,https://www.gk100.com/read_15984542.htm,2
广东,2026,历史,637,637,29,324,https://www.gk100.com/read_15984542.htm,2
广东,2026,历史,636,636,23,347,https://www.gk100.com/read_15984542.htm,2
广东,2026,历史,635,635,30,377,https://www.gk100.com/read_15984542.htm,2
广东,2026,历史,634,634,19,396,https://www.gk100.com/read_15984542.htm,2
广东,2026,历史,633,633,32,428,https://www.gk100.com/read_15984542.htm,2
广东,2026,历史,632,632,31,459,https://www.gk100.com/read_15984542.htm,2
广东,2026,历史,631,631,42,501,https://www.gk100.com/read_15984542.htm,2
