省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
广东,2026,物理,709,709,0,0,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,699及以上,699,20,20,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,698,698,5,25,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,697,697,6,31,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,696,696,5,36,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,695,695,9,45,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,694,694,13,58,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,693,693,9,67,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,692,692,15,82,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,691,691,19,101,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,690,690,14,115,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,689,689,18,133,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,688,688,19,152,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,687,687,21,173,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,686,686,25,198,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,685,685,30,228,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,684,684,30,258,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,683,683,28,286,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,682,682,27,313,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,681,681,43,356,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,680,680,34,390,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,679,679,39,429,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,678,678,43,472,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,677,677,55,527,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,676,676,54,581,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,675,675,45,626,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,674,674,64,690,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,673,673,60,750,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,672,672,85,835,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,671,671,75,910,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,670,670,66,976,https://www.gk100.com/read_15984542.htm,1
广东,2026,物理,669,669,97,1073,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,668,668,86,1159,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,667,667,109,1268,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,666,666,108,1376,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,665,665,121,1497,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,664,664,118,1615,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,663,663,116,1731,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,662,662,130,1861,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,661,661,146,2007,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,660,660,126,2133,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,659,659,155,2288,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,658,658,173,2461,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,657,657,176,2637,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,656,656,160,2797,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,655,655,170,2967,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,654,654,188,3155,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,653,653,208,3363,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,652,652,210,3573,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,651,651,219,3792,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,650,650,249,4041,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,649,649,254,4295,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,648,648,256,4551,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,647,647,259,4810,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,646,646,275,5085,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,645,645,268,5353,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,644,644,273,5626,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,643,643,291,5917,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,642,642,270,6187,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,641,641,328,6515,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,640,640,372,6887,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,639,639,347,7234,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,638,638,347,7581,https://www.gk100.com/read_15984542.htm,2
广东,2026,物理,637,637,394,7975,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,636,636,351,8326,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,635,635,395,8721,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,634,634,398,9119,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,633,633,341,9460,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,632,632,431,9891,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,631,631,435,10326,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,630,630,448,10774,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,629,629,477,11251,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,628,628,453,11704,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,627,627,451,12155,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,626,626,494,12649,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,625,625,506,13155,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,624,624,518,13673,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,623,623,547,14220,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,622,622,562,14782,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,621,621,597,15379,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,620,620,588,15967,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,619,619,591,16558,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,618,618,573,17131,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,617,617,645,17776,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,616,616,638,18414,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,615,615,650,19064,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,614,614,676,19740,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,613,613,701,20441,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,612,612,691,21132,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,611,611,748,21880,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,610,610,753,22633,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,609,609,757,23390,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,608,608,776,24166,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,607,607,765,24931,https://www.gk100.com/read_15984542.htm,3
广东,2026,物理,605,605,1661,26592,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,604,604,812,27404,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,603,603,812,28216,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,602,602,898,29114,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,601,601,867,29981,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,600,600,910,30891,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,599,599,860,31751,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,598,598,907,32658,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,597,597,933,33591,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,596,596,954,34545,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,595,595,967,35512,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,594,594,949,36461,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,593,593,1007,37468,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,592,592,1015,38483,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,591,591,1020,39503,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,590,590,1050,40553,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,589,589,1044,41597,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,588,588,1105,42702,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,587,587,1076,43778,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,585,585,2222,46000,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,583,583,2306,48306,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,582,582,1156,49462,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,581,581,1170,50632,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,580,580,1155,51787,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,579,579,1235,53022,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,578,578,1253,54275,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,577,577,1238,55513,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,576,576,1244,56757,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,575,575,1251,58008,https://www.gk100.com/read_15984542.htm,4
广东,2026,物理,574,574,1286,59294,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,573,573,1271,60565,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,572,572,1330,61895,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,571,571,1248,63143,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,570,570,1315,64458,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,569,569,1341,65799,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,568,568,1327,67126,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,567,567,1386,68512,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,566,566,1390,69902,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,565,565,1468,71370,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,564,564,1424,72794,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,563,563,1421,74215,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,562,562,1417,75632,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,561,561,1393,77025,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,560,560,1449,78474,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,559,559,1458,79932,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,558,558,1412,81344,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,557,557,1506,82850,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,556,556,1468,84318,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,555,555,1485,85803,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,554,554,1476,87279,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,553,553,1505,88784,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,552,552,1555,90339,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,551,551,1465,91804,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,550,550,1622,93426,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,549,549,1584,95010,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,548,548,1566,96576,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,547,547,1622,98198,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,546,546,1629,99827,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,545,545,1546,101373,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,544,544,1721,103094,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,543,543,1748,104842,https://www.gk100.com/read_15984542.htm,5
广东,2026,物理,542,542,1640,106482,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,541,541,1705,108187,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,540,540,1679,109866,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,539,539,1738,111604,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,538,538,1737,113341,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,537,537,1745,115086,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,536,536,1727,116813,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,535,535,1711,118524,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,534,534,1812,120336,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,533,533,1713,122049,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,532,532,1778,123827,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,531,531,1787,125614,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,530,530,1723,127337,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,529,529,1842,129179,https://www.gk100.com/read_15984542.htm,6
广东,2026,物理,528,528,1781,130960,https://www.gk100.com/read_15984542.htm,6
