省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
广西,2026,历史,672,672,13,13,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,671,671,1,14,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,670,670,0,14,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,669,669,1,15,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,668,668,3,18,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,667,667,0,18,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,666,666,1,19,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,665,665,3,22,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,664,664,1,23,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,663,663,6,29,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,662,662,2,31,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,661,661,4,35,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,660,660,4,39,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,659,659,7,46,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,658,658,7,53,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,657,657,6,59,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,656,656,4,63,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,655,655,6,69,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,654,654,4,73,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,653,653,2,75,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,652,652,4,79,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,651,651,6,85,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,650,650,11,96,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,649,649,4,100,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,648,648,9,109,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,647,647,7,116,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,646,646,10,126,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,645,645,12,138,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,644,644,10,148,https://www.gk100.com/read_14425286.htm,1
广西,2026,历史,642,642,26,174,https://www.gk100.com/read_14425286.htm,2
广西,2026,历史,641,641,14,188,https://www.gk100.com/read_14425286.htm,2
广西,2026,历史,640,640,8,196,https://www.gk100.com/read_14425286.htm,2
广西,2026,历史,639,639,12,208,https://www.gk100.com/read_14425286.htm,2
广西,2026,历史,638,638,8,216,https://www.gk100.com/read_14425286.htm,2
广西,2026,历史,637,637,14,230,https://www.gk100.com/read_14425286.htm,2
广西,2026,历史,636,636,12,242,https://www.gk100.com/read_14425286.htm,2
广西,2026,历史,635,635,15,257,https://www.gk100.com/read_14425286.htm,2
