省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
广西,2026,物理,699,699,9,9,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,698,698,3,12,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,697,697,1,13,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,696,696,2,15,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,695,695,1,16,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,694,694,3,19,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,693,693,1,20,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,692,692,5,25,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,691,691,3,28,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,690,690,5,33,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,689,689,5,38,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,688,688,13,51,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,687,687,5,56,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,686,686,12,68,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,685,685,2,70,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,684,684,13,83,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,683,683,10,93,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,682,682,14,107,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,681,681,8,115,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,680,680,10,125,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,679,679,12,137,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,678,678,13,150,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,677,677,18,168,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,676,676,13,181,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,675,675,13,194,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,674,674,8,202,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,673,673,22,224,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,672,672,24,248,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,671,671,23,271,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,670,670,20,291,https://www.gk100.com/read_14425286.htm,1
广西,2026,物理,669,669,25,316,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,668,668,20,336,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,667,667,22,358,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,666,666,18,376,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,665,665,30,406,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,664,664,28,434,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,663,663,32,466,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,662,662,32,498,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,661,661,36,534,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,660,660,28,562,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,659,659,247,809,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,654,654,22,831,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,653,653,54,885,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,652,652,71,956,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,651,651,63,1019,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,650,650,72,1091,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,649,649,60,1151,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,648,648,61,1212,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,647,647,76,1288,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,646,646,72,1360,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,645,645,88,1448,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,644,644,111,1559,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,643,643,96,1655,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,642,642,105,1760,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,641,641,118,1878,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,640,640,103,1981,https://www.gk100.com/read_14425286.htm,2
广西,2026,物理,638,638,211,2192,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,637,637,106,2298,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,636,636,113,2411,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,635,635,133,2544,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,634,634,133,2677,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,633,633,174,2851,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,632,632,137,2988,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,631,631,160,3148,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,630,630,166,3314,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,629,629,152,3466,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,628,628,159,3625,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,627,627,164,3789,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,626,626,197,3986,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,625,625,161,4147,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,624,624,207,4354,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,623,623,185,4539,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,622,622,184,4723,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,621,621,175,4898,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,620,620,191,5089,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,619,619,186,5275,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,618,618,226,5501,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,617,617,205,5706,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,616,616,233,5939,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,615,615,259,6198,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,614,614,246,6444,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,613,613,254,6698,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,612,612,268,6966,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,611,611,275,7241,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,610,610,257,7498,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,609,609,261,7759,https://www.gk100.com/read_14425286.htm,3
广西,2026,物理,608,608,272,8031,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,607,607,292,8323,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,606,606,280,8603,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,605,605,294,8897,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,604,604,305,9202,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,603,603,328,9530,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,602,602,313,9843,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,601,601,312,10155,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,600,600,341,10496,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,599,599,323,10819,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,598,598,344,11163,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,597,597,348,11511,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,596,596,350,11861,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,595,595,344,12205,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,594,594,351,12556,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,593,593,349,12905,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,592,592,381,13286,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,591,591,395,13681,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,590,590,379,14060,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,589,589,377,14437,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,588,588,388,14825,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,587,587,391,15216,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,586,586,345,15561,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,585,585,405,15966,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,584,584,418,16384,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,583,583,385,16769,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,582,582,428,17197,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,581,581,430,17627,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,580,580,429,18056,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,579,579,444,18500,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,578,578,421,18921,https://www.gk100.com/read_14425286.htm,4
广西,2026,物理,577,577,434,19355,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,576,576,431,19786,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,575,575,442,20228,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,574,574,433,20661,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,573,573,472,21133,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,572,572,470,21603,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,571,571,495,22098,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,570,570,487,22585,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,569,569,468,23053,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,568,568,486,23539,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,567,567,500,24039,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,566,566,517,24556,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,565,565,494,25050,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,564,564,495,25545,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,563,563,577,26122,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,562,562,541,26663,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,561,561,546,27209,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,560,560,508,27717,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,559,559,539,28256,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,558,558,586,28842,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,557,557,562,29404,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,556,556,572,29976,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,555,555,602,30578,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,554,554,583,31161,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,553,553,556,31717,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,552,552,572,32289,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,551,551,602,32891,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,550,550,573,33464,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,549,549,577,34041,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,548,548,609,34650,https://www.gk100.com/read_14425286.htm,5
广西,2026,物理,546,546,1166,35816,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,545,545,617,36433,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,544,544,656,37089,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,543,543,611,37700,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,542,542,625,38325,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,541,541,632,38957,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,540,540,594,39551,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,539,539,623,40174,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,538,538,655,40829,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,537,537,606,41435,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,536,536,663,42098,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,535,535,648,42746,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,534,534,697,43443,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,533,533,634,44077,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,532,532,659,44736,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,531,531,669,45405,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,530,530,637,46042,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,529,529,726,46768,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,528,528,687,47455,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,527,527,687,48142,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,526,526,690,48832,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,525,525,671,49503,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,524,524,701,50204,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,523,523,687,50891,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,522,522,699,51590,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,521,521,665,52255,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,520,520,694,52949,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,519,519,735,53684,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,518,518,720,54404,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,517,517,690,55094,https://www.gk100.com/read_14425286.htm,6
广西,2026,物理,516,516,732,55826,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,515,515,652,56478,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,514,514,689,57167,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,513,513,690,57857,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,512,512,693,58550,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,511,511,734,59284,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,510,510,703,59987,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,509,509,717,60704,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,508,508,745,61449,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,507,507,701,62150,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,506,506,688,62838,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,505,505,732,63570,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,504,504,715,64285,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,503,503,710,64995,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,502,502,746,65741,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,501,501,705,66446,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,500,500,746,67192,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,499,499,758,67950,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,498,498,730,68680,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,497,497,705,69385,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,496,496,726,70111,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,495,495,741,70852,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,494,494,717,71569,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,493,493,693,72262,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,492,492,743,73005,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,491,491,745,73750,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,490,490,777,74527,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,489,489,781,75308,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,488,488,747,76055,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,487,487,789,76844,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,486,486,764,77608,https://www.gk100.com/read_14425286.htm,7
广西,2026,物理,485,485,807,78415,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,484,484,751,79166,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,483,483,738,79904,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,482,482,787,80691,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,481,481,759,81450,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,480,480,767,82217,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,479,479,708,82925,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,478,478,786,83711,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,477,477,782,84493,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,476,476,801,85294,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,475,475,783,86077,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,474,474,758,86835,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,473,473,783,87618,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,472,472,794,88412,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,471,471,802,89214,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,470,470,779,89993,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,469,469,790,90783,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,468,468,774,91557,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,467,467,798,92355,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,466,466,785,93140,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,465,465,766,93906,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,464,464,805,94711,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,463,463,842,95553,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,462,462,791,96344,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,461,461,860,97204,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,460,460,873,98077,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,459,459,813,98890,https://www.gk100.com/read_14425286.htm,8
广西,2026,物理,458,458,805,99695,https://www.gk100.com/read_14425286.htm,8
