省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
新疆,2026,文科,641及以上,641,1,1,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,640,640,0,1,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,639,639,0,1,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,638,638,0,1,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,637,637,0,1,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,636,636,4,5,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,635,635,0,5,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,634,634,0,5,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,633,633,0,5,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,632,632,0,5,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,630,630,4,9,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,629,629,0,9,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,628,628,0,9,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,627,627,1,10,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,626,626,0,10,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,625,625,3,13,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,624,624,0,13,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,623,623,4,17,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,622,622,1,18,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,621,621,0,18,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,620,620,0,18,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,619,619,4,22,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,618,618,0,22,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,617,617,6,28,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,616,616,0,28,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,615,615,0,28,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,614,614,6,34,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,613,613,6,40,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,612,612,0,40,https://www.gk100.com/read_22262694.htm,1
新疆,2026,文科,610,610,18,58,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,609,609,1,59,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,608,608,6,65,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,607,607,1,66,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,606,606,6,72,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,605,605,0,72,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,604,604,6,78,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,603,603,4,82,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,602,602,0,82,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,601,601,6,88,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,600,600,4,92,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,599,599,4,96,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,598,598,0,96,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,597,597,0,96,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,596,596,9,105,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,595,595,8,113,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,594,594,7,120,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,593,593,4,124,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,592,592,6,130,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,591,591,9,139,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,590,590,9,148,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,589,589,9,157,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,588,588,0,157,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,587,587,0,157,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,586,586,10,167,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,585,585,0,167,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,584,584,10,177,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,583,583,10,187,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,582,582,9,196,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,581,581,13,209,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,580,580,0,209,https://www.gk100.com/read_22262694.htm,2
新疆,2026,文科,578,578,14,223,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,577,577,13,236,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,576,576,14,250,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,575,575,11,261,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,574,574,11,272,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,573,573,12,284,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,572,572,12,296,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,571,571,14,310,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,570,570,14,324,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,569,569,13,337,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,568,568,12,349,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,567,567,14,363,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,566,566,15,378,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,565,565,14,392,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,564,564,13,405,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,563,563,13,418,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,562,562,15,433,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,561,561,15,448,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,560,560,16,464,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,559,559,17,481,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,558,558,20,501,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,557,557,20,521,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,556,556,20,541,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,555,555,20,561,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,554,554,21,582,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,553,553,18,600,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,552,552,13,613,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,551,551,13,626,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,550,550,13,639,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,549,549,14,653,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,548,548,13,666,https://www.gk100.com/read_22262694.htm,3
新疆,2026,文科,546,546,41,707,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,545,545,19,726,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,544,544,18,744,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,543,543,19,763,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,542,542,19,782,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,541,541,20,802,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,540,540,21,823,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,539,539,22,845,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,538,538,21,866,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,537,537,20,886,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,536,536,20,906,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,535,535,24,930,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,534,534,20,950,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,533,533,20,970,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,532,532,22,992,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,531,531,21,1013,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,530,530,23,1036,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,529,529,24,1060,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,528,528,22,1082,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,527,527,22,1104,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,526,526,24,1128,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,525,525,25,1153,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,524,524,28,1181,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,523,523,27,1208,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,522,522,27,1235,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,521,521,29,1264,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,520,520,28,1292,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,519,519,27,1319,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,518,518,25,1344,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,517,517,30,1374,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,516,516,29,1403,https://www.gk100.com/read_22262694.htm,4
新疆,2026,文科,514,514,63,1466,https://www.gk100.com/read_22262694.htm,5
新疆,2026,文科,513,513,35,1501,https://www.gk100.com/read_22262694.htm,5
新疆,2026,文科,512,512,35,1536,https://www.gk100.com/read_22262694.htm,5
新疆,2026,文科,511,511,30,1566,https://www.gk100.com/read_22262694.htm,5
新疆,2026,文科,510,510,32,1598,https://www.gk100.com/read_22262694.htm,5
新疆,2026,文科,509,509,40,1638,https://www.gk100.com/read_22262694.htm,5
新疆,2026,文科,508,508,40,1678,https://www.gk100.com/read_22262694.htm,5
新疆,2026,文科,507,507,44,1722,https://www.gk100.com/read_22262694.htm,5
