省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
新疆,2026,理科,670及以上,670,9,9,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,669,669,5,14,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,668,668,5,19,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,667,667,4,23,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,666,666,7,30,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,665,665,9,39,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,664,664,0,39,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,663,663,8,47,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,662,662,15,62,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,661,661,0,62,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,660,660,15,77,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,659,659,0,77,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,658,658,0,77,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,657,657,0,77,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,656,656,13,90,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,655,655,0,90,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,654,654,0,90,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,653,653,15,105,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,652,652,0,105,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,651,651,15,120,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,650,650,17,137,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,649,649,20,157,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,648,648,22,179,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,647,647,24,203,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,646,646,23,226,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,645,645,22,248,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,644,644,0,248,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,643,643,24,272,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,642,642,24,296,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,641,641,20,316,https://www.gk100.com/read_22262694.htm,1
新疆,2026,理科,639,639,21,337,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,638,638,22,359,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,637,637,20,379,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,635,635,49,428,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,634,634,21,449,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,633,633,22,471,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,632,632,20,491,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,631,631,21,512,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,630,630,20,532,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,629,629,21,553,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,628,628,25,578,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,627,627,24,602,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,626,626,24,626,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,625,625,24,650,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,624,624,27,677,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,623,623,22,699,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,622,622,22,721,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,621,621,26,747,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,620,620,21,768,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,619,619,27,795,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,618,618,28,823,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,617,617,30,853,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,616,616,29,882,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,615,615,32,914,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,613,613,56,970,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,612,612,33,1003,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,611,611,26,1029,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,610,610,22,1051,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,609,609,29,1080,https://www.gk100.com/read_22262694.htm,2
新疆,2026,理科,607,607,63,1143,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,606,606,37,1180,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,605,605,35,1215,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,604,604,37,1252,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,603,603,31,1283,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,602,602,35,1318,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,601,601,38,1356,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,600,600,35,1391,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,599,599,35,1426,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,598,598,37,1463,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,597,597,40,1503,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,596,596,38,1541,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,595,595,40,1581,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,594,594,47,1628,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,593,593,45,1673,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,592,592,41,1714,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,591,591,47,1761,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,590,590,40,1801,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,589,589,45,1846,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,588,588,44,1890,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,587,587,41,1931,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,586,586,54,1985,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,585,585,50,2035,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,584,584,50,2085,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,583,583,51,2136,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,582,582,43,2179,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,581,581,50,2229,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,580,580,47,2276,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,579,579,51,2327,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,578,578,51,2378,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,577,577,51,2429,https://www.gk100.com/read_22262694.htm,3
新疆,2026,理科,575,575,94,2523,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,574,574,63,2586,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,573,573,55,2641,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,572,572,52,2693,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,571,571,56,2749,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,570,570,60,2809,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,569,569,57,2866,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,568,568,52,2918,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,567,567,62,2980,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,566,566,50,3030,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,565,565,58,3088,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,564,564,44,3132,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,563,563,56,3188,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,562,562,55,3243,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,561,561,63,3306,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,560,560,65,3371,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,559,559,65,3436,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,558,558,60,3496,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,557,557,63,3559,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,556,556,62,3621,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,555,555,61,3682,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,554,554,65,3747,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,553,553,66,3813,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,552,552,71,3884,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,551,551,65,3949,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,550,550,72,4021,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,549,549,63,4084,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,548,548,67,4151,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,547,547,74,4225,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,546,546,72,4297,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,545,545,67,4364,https://www.gk100.com/read_22262694.htm,4
新疆,2026,理科,543,543,147,4511,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,542,542,80,4591,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,541,541,80,4671,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,540,540,82,4753,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,539,539,71,4824,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,538,538,83,4907,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,537,537,82,4989,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,536,536,83,5072,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,535,535,80,5152,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,534,534,82,5234,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,533,533,82,5316,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,532,532,91,5407,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,531,531,78,5485,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,530,530,84,5569,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,529,529,79,5648,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,528,528,88,5736,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,527,527,80,5816,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,526,526,80,5896,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,525,525,75,5971,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,524,524,94,6065,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,523,523,99,6164,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,522,522,83,6247,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,521,521,93,6340,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,520,520,81,6421,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,519,519,78,6499,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,518,518,96,6595,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,517,517,92,6687,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,516,516,96,6783,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,515,515,81,6864,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,514,514,78,6942,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,513,513,85,7027,https://www.gk100.com/read_22262694.htm,5
新疆,2026,理科,511,511,196,7223,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,510,510,100,7323,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,509,509,85,7408,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,508,508,116,7524,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,507,507,85,7609,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,506,506,85,7694,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,505,505,104,7798,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,504,504,100,7898,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,503,503,97,7995,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,502,502,79,8074,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,501,501,106,8180,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,500,500,107,8287,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,499,499,110,8397,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,498,498,116,8513,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,497,497,103,8616,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,496,496,94,8710,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,495,495,100,8810,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,494,494,113,8923,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,493,493,122,9045,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,492,492,96,9141,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,491,491,118,9259,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,490,490,107,9366,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,489,489,115,9481,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,488,488,118,9599,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,487,487,119,9718,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,486,486,101,9819,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,485,485,103,9922,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,484,484,112,10034,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,483,483,116,10150,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,482,482,115,10265,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,481,481,120,10385,https://www.gk100.com/read_22262694.htm,6
新疆,2026,理科,479,479,238,10623,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,478,478,115,10738,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,477,477,107,10845,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,476,476,127,10972,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,475,475,150,11122,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,474,474,128,11250,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,473,473,112,11362,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,472,472,107,11469,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,471,471,120,11589,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,470,470,111,11700,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,469,469,127,11827,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,468,468,129,11956,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,467,467,124,12080,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,466,466,130,12210,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,465,465,127,12337,https://www.gk100.com/read_22262694.htm,7
新疆,2026,理科,464,464,120,12457,https://www.gk100.com/read_22262694.htm,7
