省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
江苏,2026,历史,657,657,104,104,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,656,656,15,119,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,655,655,16,135,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,654,654,12,147,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,653,653,15,162,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,652,652,22,184,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,651,651,16,200,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,650,650,20,220,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,649,649,37,257,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,648,648,25,282,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,647,647,18,300,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,646,646,32,332,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,645,645,38,370,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,644,644,31,401,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,643,643,39,440,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,642,642,45,485,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,641,641,46,531,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,640,640,40,571,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,639,639,50,621,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,638,638,51,672,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,637,637,46,718,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,636,636,44,762,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,635,635,47,809,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,634,634,72,881,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,633,633,66,947,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,632,632,70,1017,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,631,631,68,1085,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,630,630,85,1170,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,629,629,76,1246,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,628,628,88,1334,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,627,627,77,1411,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,626,626,87,1498,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,625,625,85,1583,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,624,624,96,1679,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,623,623,101,1780,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,622,622,99,1879,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,621,621,116,1995,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,620,620,113,2108,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,619,619,131,2239,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,618,618,131,2370,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,617,617,131,2501,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,616,616,134,2635,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,615,615,152,2787,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,614,614,163,2950,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,613,613,159,3109,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,612,612,173,3282,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,611,611,140,3422,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,610,610,146,3568,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,609,609,173,3741,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,608,608,194,3935,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,607,607,177,4112,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,606,606,187,4299,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,605,605,202,4501,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,604,604,185,4686,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,603,603,209,4895,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,602,602,222,5117,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,601,601,201,5318,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,600,600,215,5533,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,599,599,222,5755,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,598,598,229,5984,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,597,597,236,6220,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,596,596,261,6481,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,595,595,241,6722,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,594,594,244,6966,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,593,593,299,7265,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,592,592,247,7512,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,591,591,290,7802,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,590,590,302,8104,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,589,589,264,8368,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,588,588,300,8668,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,587,587,271,8939,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,586,586,288,9227,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,585,585,287,9514,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,584,584,312,9826,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,583,583,353,10179,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,582,582,328,10507,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,581,581,329,10836,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,580,580,321,11157,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,579,579,333,11490,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,578,578,328,11818,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,577,577,347,12165,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,576,576,346,12511,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,575,575,359,12870,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,574,574,357,13227,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,573,573,328,13555,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,572,572,389,13944,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,571,571,360,14304,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,570,570,383,14687,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,569,569,377,15064,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,568,568,421,15485,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,567,567,386,15871,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,566,566,385,16256,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,565,565,410,16666,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,564,564,391,17057,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,563,563,399,17456,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,562,562,453,17909,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,561,561,422,18331,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,560,560,388,18719,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,559,559,413,19132,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,558,558,424,19556,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,557,557,422,19978,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,556,556,445,20423,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,555,555,430,20853,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,554,554,435,21288,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,553,553,448,21736,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,552,552,462,22198,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,551,551,430,22628,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,550,550,427,23055,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,549,549,423,23478,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,548,548,452,23930,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,547,547,433,24363,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,546,546,457,24820,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,545,545,433,25253,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,544,544,441,25694,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,543,543,465,26159,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,542,542,489,26648,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,541,541,441,27089,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,540,540,466,27555,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,539,539,479,28034,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,538,538,468,28502,https://www.gk100.com/read_9125329.htm,1
江苏,2026,历史,537,537,466,28968,https://www.gk100.com/read_9125329.htm,2
江苏,2026,历史,536,536,468,29436,https://www.gk100.com/read_9125329.htm,2
江苏,2026,历史,535,535,442,29878,https://www.gk100.com/read_9125329.htm,2
