省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
江苏,2026,物理,689,689,110,110,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,688,688,29,139,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,687,687,23,162,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,686,686,28,190,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,685,685,40,230,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,684,684,31,261,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,683,683,34,295,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,682,682,58,353,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,681,681,54,407,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,680,680,57,464,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,679,679,63,527,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,678,678,68,595,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,677,677,79,674,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,676,676,85,759,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,675,675,72,831,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,674,674,112,943,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,673,673,106,1049,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,672,672,87,1136,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,671,671,117,1253,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,670,670,114,1367,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,669,669,134,1501,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,668,668,145,1646,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,667,667,156,1802,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,666,666,162,1964,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,665,665,148,2112,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,664,664,175,2287,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,663,663,178,2465,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,662,662,201,2666,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,661,661,207,2873,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,660,660,204,3077,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,659,659,210,3287,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,658,658,240,3527,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,657,657,249,3776,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,656,656,245,4021,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,655,655,273,4294,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,654,654,283,4577,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,653,653,301,4878,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,652,652,283,5161,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,651,651,306,5467,https://www.gk100.com/read_9125329.htm,1
江苏,2026,物理,650,650,305,5772,https://www.gk100.com/read_9125329.htm,1
