省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
江西,2026,历史,663及以上,663,24,24,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,662,662,1,25,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,661,661,2,27,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,660,660,6,33,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,659,659,2,35,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,658,658,4,39,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,657,657,7,46,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,656,656,4,50,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,655,655,6,56,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,654,654,5,61,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,653,653,4,65,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,652,652,5,70,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,651,651,4,74,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,650,650,3,77,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,649,649,11,88,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,648,648,7,95,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,647,647,9,104,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,646,646,14,118,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,645,645,15,133,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,644,644,14,147,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,643,643,18,165,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,642,642,7,172,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,641,641,22,194,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,640,640,16,210,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,639,639,14,224,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,638,638,12,236,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,637,637,13,249,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,636,636,15,264,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,635,635,22,286,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,634,634,22,308,https://www.gk100.com/read_13639748.htm,1
江西,2026,历史,633,633,31,339,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,632,632,22,361,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,631,631,22,383,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,630,630,25,408,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,629,629,31,439,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,628,628,35,474,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,627,627,25,499,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,626,626,30,529,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,625,625,33,562,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,624,624,34,596,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,623,623,33,629,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,622,622,46,675,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,621,621,43,718,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,620,620,43,761,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,619,619,43,804,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,618,618,50,854,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,617,617,47,901,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,616,616,59,960,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,615,615,61,1021,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,614,614,51,1072,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,613,613,62,1134,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,612,612,47,1181,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,611,611,67,1248,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,610,610,56,1304,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,609,609,63,1367,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,608,608,72,1439,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,607,607,63,1502,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,606,606,76,1578,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,605,605,80,1658,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,604,604,88,1746,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,603,603,91,1837,https://www.gk100.com/read_13639748.htm,2
江西,2026,历史,602,602,95,1932,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,601,601,77,2009,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,600,600,91,2100,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,599,599,103,2203,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,598,598,88,2291,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,597,597,116,2407,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,596,596,117,2524,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,595,595,122,2646,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,594,594,89,2735,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,593,593,122,2857,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,592,592,96,2953,https://www.gk100.com/read_13639748.htm,3
江西,2026,历史,591,591,101,3054,https://www.gk100.com/read_13639748.htm,3
