省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
河北,2026,历史,672,672,35,35,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,671,671,8,43,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,670,670,7,50,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,669,669,9,59,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,668,668,12,71,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,667,667,5,76,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,666,666,10,86,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,665,665,10,96,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,664,664,19,115,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,663,663,14,129,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,662,662,11,140,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,661,661,7,147,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,660,660,20,167,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,659,659,14,181,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,658,658,17,198,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,657,657,19,217,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,656,656,20,237,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,655,655,29,266,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,654,654,23,289,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,653,653,20,309,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,652,652,36,345,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,651,651,33,378,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,650,650,31,409,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,649,649,26,435,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,648,648,40,475,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,647,647,37,512,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,646,646,43,555,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,645,645,39,594,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,644,644,45,639,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,643,643,40,679,https://www.gk100.com/read_10638515.htm,1
河北,2026,历史,641,641,100,779,https://www.gk100.com/read_10638515.htm,2
河北,2026,历史,640,640,54,833,https://www.gk100.com/read_10638515.htm,2
河北,2026,历史,639,639,43,876,https://www.gk100.com/read_10638515.htm,2
河北,2026,历史,638,638,55,931,https://www.gk100.com/read_10638515.htm,2
河北,2026,历史,637,637,74,1005,https://www.gk100.com/read_10638515.htm,2
河北,2026,历史,636,636,70,1075,https://www.gk100.com/read_10638515.htm,2
河北,2026,历史,635,635,50,1125,https://www.gk100.com/read_10638515.htm,2
