省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
河北,2026,物理,693,693,32,32,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,692,692,6,38,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,691,691,8,46,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,690,690,11,57,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,689,689,11,68,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,688,688,14,82,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,687,687,17,99,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,686,686,22,121,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,685,685,25,146,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,684,684,13,159,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,683,683,22,181,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,682,682,25,206,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,681,681,27,233,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,680,680,34,267,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,679,679,30,297,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,678,678,33,330,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,677,677,31,361,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,676,676,34,395,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,675,675,48,443,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,674,674,58,501,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,673,673,49,550,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,672,672,72,622,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,671,671,59,681,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,670,670,52,733,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,669,669,55,788,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,668,668,80,868,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,667,667,82,950,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,666,666,63,1013,https://www.gk100.com/read_10638515.htm,1
河北,2026,物理,665,665,122,1135,https://www.gk100.com/read_10638515.htm,1
