省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
河南,2026,物理,706及以上,706,14,14,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,705,705,1,15,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,704,704,9,24,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,703,703,5,29,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,702,702,3,32,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,701,701,9,41,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,700,700,7,48,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,699,699,17,65,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,698,698,6,71,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,697,697,7,78,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,696,696,13,91,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,695,695,17,108,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,694,694,16,124,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,693,693,21,145,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,692,692,20,165,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,691,691,23,188,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,690,690,24,212,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,689,689,37,249,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,688,688,36,285,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,687,687,28,313,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,686,686,38,351,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,685,685,37,388,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,684,684,48,436,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,683,683,44,480,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,682,682,46,526,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,681,681,56,582,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,680,680,68,650,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,679,679,61,711,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,678,678,68,779,https://www.gk100.com/read_16880835.htm,1
河南,2026,物理,677,677,62,841,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,676,676,77,918,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,675,675,85,1003,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,674,674,84,1087,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,673,673,93,1180,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,672,672,88,1268,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,671,671,98,1366,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,670,670,117,1483,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,669,669,111,1594,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,668,668,122,1716,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,667,667,124,1840,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,666,666,130,1970,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,665,665,133,2103,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,664,664,140,2243,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,663,663,168,2411,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,662,662,153,2564,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,661,661,161,2725,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,660,660,181,2906,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,659,659,196,3102,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,658,658,154,3256,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,657,657,215,3471,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,656,656,228,3699,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,655,655,212,3911,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,654,654,234,4145,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,653,653,248,4393,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,652,652,243,4636,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,651,651,268,4904,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,650,650,262,5166,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,649,649,264,5430,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,648,648,296,5726,https://www.gk100.com/read_16880835.htm,2
河南,2026,物理,646,646,596,6322,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,645,645,302,6624,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,644,644,316,6940,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,643,643,326,7266,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,642,642,328,7594,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,641,641,339,7933,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,640,640,363,8296,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,639,639,379,8675,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,638,638,366,9041,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,637,637,395,9436,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,636,636,384,9820,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,635,635,450,10270,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,634,634,423,10693,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,633,633,413,11106,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,632,632,439,11545,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,631,631,446,11991,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,630,630,474,12465,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,629,629,456,12921,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,628,628,455,13376,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,627,627,490,13866,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,626,626,536,14402,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,625,625,493,14895,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,624,624,505,15400,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,623,623,534,15934,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,622,622,574,16508,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,621,621,577,17085,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,620,620,580,17665,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,619,619,677,18342,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,618,618,619,18961,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,617,617,604,19565,https://www.gk100.com/read_16880835.htm,3
河南,2026,物理,616,616,702,20267,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,615,615,625,20892,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,614,614,718,21610,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,613,613,715,22325,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,612,612,720,23045,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,611,611,715,23760,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,610,610,772,24532,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,609,609,758,25290,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,608,608,746,26036,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,607,607,753,26789,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,606,606,798,27587,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,605,605,833,28420,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,604,604,835,29255,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,603,603,776,30031,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,602,602,838,30869,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,601,601,856,31725,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,600,600,897,32622,https://www.gk100.com/read_16880835.htm,4
河南,2026,物理,599,599,903,33525,https://www.gk100.com/read_16880835.htm,4
