省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
浙江,2026,综合,693,693,392,392,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,692,692,55,447,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,691,691,73,520,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,690,690,100,620,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,689,689,97,717,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,688,688,84,801,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,687,687,129,930,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,686,686,144,1074,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,685,685,128,1202,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,684,684,145,1347,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,683,683,143,1490,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,682,682,168,1658,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,681,681,188,1846,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,680,680,185,2031,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,679,679,220,2251,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,678,678,249,2500,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,677,677,193,2693,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,676,676,245,2938,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,675,675,238,3176,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,674,674,219,3395,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,673,673,248,3643,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,672,672,276,3919,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,671,671,297,4216,https://www.gk100.com/read_17454416.htm,1
浙江,2026,综合,669,669,610,4826,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,668,668,278,5104,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,667,667,299,5403,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,666,666,339,5742,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,665,665,366,6108,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,664,664,366,6474,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,663,663,403,6877,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,662,662,337,7214,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,661,661,395,7609,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,660,660,412,8021,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,659,659,414,8435,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,658,658,442,8877,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,657,657,441,9318,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,656,656,433,9751,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,655,655,441,10192,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,654,654,470,10662,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,653,653,470,11132,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,652,652,487,11619,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,651,651,514,12133,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,650,650,526,12659,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,649,649,546,13205,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,648,648,499,13704,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,647,647,603,14307,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,646,646,531,14838,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,645,645,555,15393,https://www.gk100.com/read_17454416.htm,2
浙江,2026,综合,644,644,588,15981,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,643,643,587,16568,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,642,642,646,17214,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,641,641,664,17878,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,640,640,706,18584,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,639,639,658,19242,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,638,638,652,19894,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,637,637,681,20575,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,636,636,718,21293,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,635,635,678,21971,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,634,634,746,22717,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,633,633,729,23446,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,632,632,706,24152,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,631,631,758,24910,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,630,630,746,25656,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,629,629,815,26471,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,628,628,820,27291,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,627,627,878,28169,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,626,626,829,28998,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,625,625,811,29809,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,624,624,800,30609,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,623,623,823,31432,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,622,622,865,32297,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,621,621,924,33221,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,620,620,884,34105,https://www.gk100.com/read_17454416.htm,3
浙江,2026,综合,618,618,1841,35946,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,617,617,944,36890,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,616,616,940,37830,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,615,615,964,38794,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,614,614,976,39770,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,613,613,1070,40840,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,612,612,1014,41854,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,611,611,974,42828,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,610,610,1051,43879,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,609,609,1083,44962,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,608,608,1030,45992,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,607,607,1069,47061,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,606,606,1090,48151,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,605,605,1077,49228,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,604,604,1100,50328,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,603,603,1144,51472,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,602,602,1099,52571,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,601,601,1135,53706,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,600,600,1042,54748,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,599,599,1138,55886,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,598,598,1134,57020,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,597,597,1126,58146,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,596,596,1210,59356,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,595,595,1174,60530,https://www.gk100.com/read_17454416.htm,4
浙江,2026,综合,593,593,2359,62889,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,592,592,1129,64018,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,591,591,1169,65187,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,590,590,1174,66361,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,589,589,1210,67571,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,588,588,1207,68778,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,587,587,1178,69956,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,586,586,1159,71115,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,585,585,1195,72310,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,584,584,1199,73509,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,583,583,1232,74741,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,582,582,1209,75950,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,581,581,1303,77253,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,580,580,1192,78445,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,579,579,1268,79713,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,578,578,1168,80881,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,577,577,1202,82083,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,576,576,1254,83337,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,575,575,1255,84592,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,574,574,1188,85780,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,573,573,1310,87090,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,572,572,1284,88374,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,571,571,1283,89657,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,570,570,1228,90885,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,569,569,1250,92135,https://www.gk100.com/read_17454416.htm,5
浙江,2026,综合,568,568,1249,93384,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,567,567,1268,94652,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,566,566,1199,95851,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,565,565,1295,97146,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,564,564,1245,98391,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,563,563,1244,99635,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,562,562,1269,100904,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,561,561,1230,102134,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,560,560,1218,103352,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,559,559,1318,104670,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,558,558,1296,105966,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,557,557,1260,107226,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,556,556,1298,108524,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,555,555,1239,109763,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,554,554,1248,111011,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,553,553,1317,112328,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,552,552,1232,113560,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,551,551,1277,114837,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,550,550,1254,116091,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,549,549,1252,117343,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,548,548,1234,118577,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,547,547,1276,119853,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,546,546,1308,121161,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,545,545,1196,122357,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,544,544,1292,123649,https://www.gk100.com/read_17454416.htm,6
浙江,2026,综合,543,543,1297,124946,https://www.gk100.com/read_17454416.htm,7
浙江,2026,综合,542,542,1375,126321,https://www.gk100.com/read_17454416.htm,7
浙江,2026,综合,541,541,1241,127562,https://www.gk100.com/read_17454416.htm,7
浙江,2026,综合,540,540,1276,128838,https://www.gk100.com/read_17454416.htm,7
浙江,2026,综合,539,539,1271,130109,https://www.gk100.com/read_17454416.htm,7
浙江,2026,综合,538,538,1225,131334,https://www.gk100.com/read_17454416.htm,7
浙江,2026,综合,537,537,1240,132574,https://www.gk100.com/read_17454416.htm,7
浙江,2026,综合,536,536,1333,133907,https://www.gk100.com/read_17454416.htm,7
