省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
海南,2025,综合,750,750,482,482,https://www.gk100.com/read_21375495.htm,2
海南,2025,综合,749,749,13,495,https://www.gk100.com/read_21375495.htm,2
海南,2025,综合,748,748,16,511,https://www.gk100.com/read_21375495.htm,2
海南,2025,综合,747,747,14,525,https://www.gk100.com/read_21375495.htm,2
海南,2025,综合,746,746,13,538,https://www.gk100.com/read_21375495.htm,2
海南,2025,综合,745,745,17,555,https://www.gk100.com/read_21375495.htm,2
海南,2025,综合,743,743,30,585,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,742,742,18,603,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,741,741,17,620,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,740,740,19,639,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,739,739,18,657,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,738,738,15,672,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,737,737,17,689,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,736,736,20,709,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,735,735,20,729,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,734,734,17,746,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,733,733,21,767,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,732,732,24,791,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,731,731,18,809,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,730,730,22,831,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,729,729,25,856,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,728,728,17,873,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,727,727,27,900,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,726,726,25,925,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,725,725,23,948,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,724,724,23,971,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,723,723,23,994,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,722,722,34,1028,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,721,721,28,1056,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,720,720,20,1076,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,719,719,27,1103,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,718,718,33,1136,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,717,717,29,1165,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,716,716,27,1192,https://www.gk100.com/read_21375495.htm,3
海南,2025,综合,714,714,61,1253,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,713,713,39,1292,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,712,712,27,1319,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,711,711,32,1351,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,710,710,35,1386,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,709,709,34,1420,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,708,708,34,1454,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,707,707,35,1489,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,706,706,39,1528,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,705,705,34,1562,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,704,704,48,1610,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,703,703,31,1641,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,702,702,41,1682,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,701,701,38,1720,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,700,700,43,1763,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,699,699,46,1809,https://www.gk100.com/read_21375495.htm,4
海南,2025,综合,698,698,44,1853,https://www.gk100.com/read_21375495.htm,4
