省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
湖北,2026,历史,681,681,10,10,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,680,680,2,12,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,679,679,0,12,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,678,678,0,12,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,677,677,1,13,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,676,676,0,13,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,675,675,0,13,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,674,674,2,15,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,673,673,1,16,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,672,672,0,16,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,671,671,1,17,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,670,670,3,20,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,669,669,2,22,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,668,668,1,23,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,667,667,2,25,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,666,666,7,32,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,665,665,5,37,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,664,664,3,40,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,663,663,6,46,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,662,662,3,49,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,661,661,2,51,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,660,660,9,60,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,659,659,8,68,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,658,658,6,74,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,657,657,11,85,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,656,656,11,96,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,655,655,10,106,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,654,654,15,121,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,653,653,11,132,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,652,652,16,148,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,651,651,12,160,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,650,650,16,176,https://www.gk100.com/read_11186737.htm,1
湖北,2026,历史,649,649,17,193,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,648,648,20,213,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,647,647,22,235,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,646,646,16,251,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,645,645,19,270,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,644,644,23,293,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,643,643,25,318,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,642,642,18,336,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,641,641,24,360,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,640,640,19,379,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,639,639,30,409,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,638,638,28,437,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,637,637,29,466,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,636,636,31,497,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,635,635,30,527,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,634,634,43,570,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,633,633,33,603,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,632,632,38,641,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,631,631,44,685,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,630,630,48,733,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,629,629,58,791,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,628,628,58,849,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,627,627,52,901,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,626,626,49,950,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,625,625,45,995,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,624,624,74,1069,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,623,623,59,1128,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,622,622,65,1193,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,621,621,55,1248,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,620,620,63,1311,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,619,619,69,1380,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,618,618,82,1462,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,617,617,69,1531,https://www.gk100.com/read_11186737.htm,2
湖北,2026,历史,616,616,101,1632,https://www.gk100.com/read_11186737.htm,3
湖北,2026,历史,615,615,86,1718,https://www.gk100.com/read_11186737.htm,3
湖北,2026,历史,614,614,79,1797,https://www.gk100.com/read_11186737.htm,3
湖北,2026,历史,613,613,80,1877,https://www.gk100.com/read_11186737.htm,3
湖北,2026,历史,612,612,70,1947,https://www.gk100.com/read_11186737.htm,3
