省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
湖北,2026,物理,711,711,20,20,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,710,710,1,21,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,709,709,0,21,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,708,708,0,21,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,707,707,0,21,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,706,706,0,21,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,705,705,1,22,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,704,704,0,22,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,703,703,0,22,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,702,702,0,22,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,701,701,0,22,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,700,700,9,31,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,699,699,3,34,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,698,698,9,43,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,697,697,5,48,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,696,696,12,60,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,695,695,16,76,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,694,694,9,85,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,693,693,21,106,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,692,692,21,127,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,691,691,15,142,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,690,690,17,159,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,689,689,27,186,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,688,688,19,205,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,687,687,29,234,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,686,686,31,265,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,685,685,43,308,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,684,684,47,355,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,683,683,30,385,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,682,682,37,422,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,681,681,46,468,https://www.gk100.com/read_11186737.htm,1
湖北,2026,物理,679,679,105,573,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,678,678,60,633,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,677,677,53,686,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,676,676,48,734,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,675,675,79,813,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,674,674,68,881,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,673,673,84,965,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,672,672,88,1053,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,671,671,77,1130,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,670,670,71,1201,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,669,669,94,1295,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,668,668,99,1394,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,667,667,106,1500,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,666,666,107,1607,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,665,665,112,1719,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,664,664,119,1838,https://www.gk100.com/read_11186737.htm,2
湖北,2026,物理,663,663,127,1965,https://www.gk100.com/read_11186737.htm,2
