省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
湖南,2026,历史,657,657,52,52,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,656,656,6,58,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,655,655,8,66,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,654,654,7,73,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,653,653,8,81,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,652,652,9,90,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,651,651,7,97,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,650,650,12,109,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,649,649,10,119,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,648,648,8,127,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,647,647,9,136,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,646,646,10,146,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,645,645,12,158,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,644,644,15,173,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,643,643,16,189,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,642,642,9,198,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,641,641,13,211,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,640,640,15,226,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,639,639,18,244,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,638,638,28,272,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,637,637,16,288,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,636,636,25,313,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,635,635,25,338,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,634,634,22,360,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,633,633,36,396,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,632,632,25,421,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,631,631,17,438,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,630,630,27,465,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,629,629,31,496,https://www.gk100.com/read_4555342.htm,1
湖南,2026,历史,627,627,73,569,https://www.gk100.com/read_4555342.htm,2
