省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
甘肃,2026,历史,660,660,38,38,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,659,659,5,43,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,658,658,5,48,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,657,657,2,50,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,656,656,3,53,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,655,655,7,60,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,654,654,6,66,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,653,653,3,69,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,652,652,13,82,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,651,651,8,90,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,650,650,8,98,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,649,649,9,107,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,648,648,8,115,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,647,647,5,120,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,646,646,9,129,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,645,645,11,140,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,644,644,9,149,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,643,643,14,163,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,642,642,8,171,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,641,641,9,180,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,640,640,9,189,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,639,639,14,203,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,638,638,7,210,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,637,637,10,220,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,636,636,17,237,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,635,635,17,254,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,634,634,16,270,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,633,633,21,291,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,632,632,17,308,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,631,631,12,320,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,历史,630,630,17,337,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,629,629,13,350,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,628,628,21,371,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,627,627,19,390,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,626,626,20,410,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,625,625,15,425,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,624,624,20,445,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,623,623,23,468,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,622,622,25,493,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,621,621,17,510,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,620,620,24,534,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,619,619,27,561,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,618,618,19,580,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,617,617,37,617,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,616,616,21,638,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,615,615,18,656,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,614,614,26,682,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,613,613,21,703,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,612,612,30,733,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,611,611,30,763,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,610,610,37,800,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,609,609,35,835,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,608,608,34,869,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,607,607,27,896,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,606,606,27,923,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,605,605,29,952,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,604,604,39,991,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,603,603,31,1022,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,602,602,28,1050,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,601,601,38,1088,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,600,600,35,1123,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,历史,598,598,78,1201,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,597,597,44,1245,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,596,596,47,1292,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,595,595,49,1341,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,594,594,43,1384,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,593,593,48,1432,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,592,592,38,1470,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,591,591,35,1505,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,590,590,44,1549,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,589,589,52,1601,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,588,588,49,1650,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,587,587,40,1690,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,586,586,45,1735,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,585,585,48,1783,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,584,584,58,1841,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,583,583,48,1889,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,582,582,58,1947,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,581,581,43,1990,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,580,580,61,2051,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,579,579,57,2108,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,578,578,56,2164,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,577,577,54,2218,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,576,576,45,2263,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,575,575,50,2313,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,574,574,57,2370,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,573,573,45,2415,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,572,572,72,2487,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,571,571,58,2545,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,570,570,63,2608,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,569,569,63,2671,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,568,568,61,2732,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,历史,567,567,71,2803,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,566,566,70,2873,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,565,565,69,2942,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,564,564,75,3017,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,563,563,63,3080,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,562,562,67,3147,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,561,561,66,3213,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,560,560,64,3277,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,559,559,68,3345,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,558,558,62,3407,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,557,557,74,3481,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,556,556,67,3548,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,555,555,78,3626,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,554,554,74,3700,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,553,553,75,3775,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,552,552,87,3862,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,551,551,76,3938,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,550,550,93,4031,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,549,549,68,4099,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,548,548,81,4180,https://www.gk100.com/read_14335011.htm,4
甘肃,2026,历史,547,547,87,4267,https://www.gk100.com/read_14335011.htm,4
