省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
甘肃,2026,物理,709,709,260,260,https://www.gk100.com/read_14335011.htm,3
甘肃,2026,物理,664,664,16,276,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,663,663,25,301,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,662,662,25,326,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,661,661,28,354,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,660,660,35,389,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,659,659,36,425,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,658,658,38,463,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,657,657,35,498,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,656,656,45,543,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,655,655,39,582,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,654,654,33,615,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,653,653,43,658,https://www.gk100.com/read_14335011.htm,1
甘肃,2026,物理,651,651,68,726,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,650,650,49,775,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,649,649,48,823,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,648,648,66,889,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,647,647,50,939,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,646,646,50,989,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,645,645,58,1047,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,643,643,114,1161,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,642,642,47,1208,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,641,641,50,1258,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,640,640,62,1320,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,639,639,71,1391,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,638,638,59,1450,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,637,637,87,1537,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,636,636,69,1606,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,635,635,70,1676,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,634,634,71,1747,https://www.gk100.com/read_14335011.htm,2
甘肃,2026,物理,633,633,76,1823,https://www.gk100.com/read_14335011.htm,2
