省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
福建,2026,历史,669及以上,669,14,14,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,668,668,1,15,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,667,667,4,19,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,666,666,6,25,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,665,665,3,28,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,664,664,4,32,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,663,663,2,34,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,662,662,6,40,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,661,661,4,44,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,660,660,2,46,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,659,659,6,52,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,658,658,2,54,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,657,657,7,61,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,656,656,5,66,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,655,655,4,70,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,654,654,12,82,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,653,653,6,88,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,652,652,11,99,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,651,651,8,107,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,650,650,7,114,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,649,649,7,121,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,648,648,11,132,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,647,647,8,140,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,646,646,9,149,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,645,645,12,161,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,644,644,15,176,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,643,643,11,187,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,642,642,19,206,https://www.gk100.com/read_2934946.htm,1
福建,2026,历史,641,641,20,226,https://www.gk100.com/read_2934946.htm,1
