省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
福建,2026,物理,686及以上,686,49,49,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,685,685,3,52,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,684,684,7,59,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,683,683,12,71,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,682,682,16,87,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,681,681,14,101,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,680,680,10,111,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,679,679,10,121,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,678,678,15,136,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,677,677,17,153,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,676,676,16,169,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,675,675,17,186,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,674,674,18,204,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,673,673,31,235,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,672,672,29,264,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,671,671,41,305,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,670,670,31,336,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,669,669,45,381,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,668,668,31,412,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,667,667,38,450,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,666,666,37,487,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,665,665,43,530,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,664,664,53,583,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,663,663,49,632,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,662,662,50,682,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,661,661,49,731,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,660,660,54,785,https://www.gk100.com/read_2934946.htm,1
福建,2026,物理,658,658,137,922,https://www.gk100.com/read_2934946.htm,2
福建,2026,物理,657,657,70,992,https://www.gk100.com/read_2934946.htm,2
福建,2026,物理,656,656,71,1063,https://www.gk100.com/read_2934946.htm,2
福建,2026,物理,655,655,93,1156,https://www.gk100.com/read_2934946.htm,2
福建,2026,物理,654,654,73,1229,https://www.gk100.com/read_2934946.htm,2
福建,2026,物理,653,653,64,1293,https://www.gk100.com/read_2934946.htm,2
