省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
贵州,2026,物理,662及以上,662,31,31,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,661,661,3,34,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,660,660,4,38,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,659,659,5,43,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,658,658,6,49,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,657,657,4,53,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,656,656,3,56,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,655,655,5,61,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,654,654,8,69,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,653,653,5,74,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,652,652,7,81,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,651,651,3,84,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,650,650,9,93,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,649,649,6,99,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,648,648,9,108,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,647,647,13,121,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,646,646,8,129,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,645,645,12,141,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,644,644,6,147,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,643,643,18,165,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,642,642,12,177,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,641,641,8,185,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,640,640,26,211,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,639,639,11,222,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,638,638,13,235,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,637,637,19,254,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,636,636,17,271,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,635,635,19,290,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,634,634,17,307,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,633,633,21,328,https://www.gk100.com/read_4520095.htm,1
贵州,2026,物理,632,632,25,353,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,631,631,35,388,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,630,630,24,412,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,629,629,22,434,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,628,628,27,461,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,627,627,29,490,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,626,626,34,524,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,625,625,38,562,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,624,624,27,589,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,623,623,38,627,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,622,622,32,659,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,621,621,33,692,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,620,620,37,729,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,619,619,35,764,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,618,618,36,800,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,617,617,30,830,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,616,616,54,884,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,615,615,33,917,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,614,614,28,945,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,613,613,34,979,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,612,612,39,1018,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,611,611,42,1060,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,610,610,39,1099,https://www.gk100.com/read_4520095.htm,2
贵州,2026,物理,609,609,47,1146,https://www.gk100.com/read_4520095.htm,2
