省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
辽宁,2026,历史,672,672,12,12,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,671,671,0,12,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,670,670,0,12,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,669,669,0,12,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,668,668,2,14,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,667,667,2,16,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,666,666,2,18,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,665,665,4,22,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,664,664,5,27,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,663,663,1,28,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,662,662,9,37,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,661,661,5,42,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,660,660,2,44,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,659,659,9,53,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,658,658,5,58,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,657,657,7,65,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,656,656,8,73,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,655,655,7,80,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,654,654,9,89,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,653,653,12,101,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,652,652,12,113,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,651,651,13,126,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,650,650,15,141,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,649,649,15,156,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,648,648,16,172,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,647,647,10,182,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,646,646,17,199,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,645,645,21,220,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,644,644,20,240,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,643,643,23,263,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,642,642,19,282,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,641,641,21,303,https://www.gk100.com/read_2356629.htm,1
辽宁,2026,历史,640,640,23,326,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,639,639,26,352,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,638,638,22,374,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,637,637,24,398,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,636,636,26,424,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,635,635,27,451,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,634,634,32,483,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,633,633,28,511,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,632,632,37,548,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,631,631,37,585,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,630,630,31,616,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,629,629,35,651,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,628,628,34,685,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,627,627,43,728,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,626,626,46,774,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,625,625,43,817,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,624,624,48,865,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,623,623,41,906,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,622,622,49,955,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,621,621,45,1000,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,620,620,42,1042,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,619,619,46,1088,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,618,618,49,1137,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,617,617,46,1183,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,616,616,52,1235,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,615,615,42,1277,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,614,614,60,1337,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,613,613,49,1386,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,612,612,59,1445,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,611,611,57,1502,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,610,610,56,1558,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,609,609,57,1615,https://www.gk100.com/read_2356629.htm,2
辽宁,2026,历史,607,607,142,1757,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,606,606,57,1814,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,605,605,63,1877,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,604,604,62,1939,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,603,603,68,2007,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,602,602,66,2073,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,601,601,58,2131,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,600,600,69,2200,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,599,599,77,2277,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,598,598,76,2353,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,597,597,75,2428,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,596,596,87,2515,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,595,595,68,2583,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,594,594,77,2660,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,593,593,74,2734,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,592,592,73,2807,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,591,591,75,2882,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,590,590,81,2963,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,589,589,69,3032,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,588,588,94,3126,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,587,587,86,3212,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,586,586,80,3292,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,585,585,82,3374,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,584,584,72,3446,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,583,583,81,3527,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,582,582,92,3619,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,581,581,93,3712,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,580,580,90,3802,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,579,579,89,3891,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,578,578,94,3985,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,577,577,93,4078,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,576,576,101,4179,https://www.gk100.com/read_2356629.htm,3
辽宁,2026,历史,575,575,103,4282,https://www.gk100.com/read_2356629.htm,4
辽宁,2026,历史,574,574,106,4388,https://www.gk100.com/read_2356629.htm,4
辽宁,2026,历史,573,573,101,4489,https://www.gk100.com/read_2356629.htm,4
辽宁,2026,历史,572,572,90,4579,https://www.gk100.com/read_2356629.htm,4
辽宁,2026,历史,571,571,111,4690,https://www.gk100.com/read_2356629.htm,4
辽宁,2026,历史,570,570,102,4792,https://www.gk100.com/read_2356629.htm,4
辽宁,2026,历史,569,569,98,4890,https://www.gk100.com/read_2356629.htm,4
辽宁,2026,历史,568,568,106,4996,https://www.gk100.com/read_2356629.htm,4
辽宁,2026,历史,567,567,130,5126,https://www.gk100.com/read_2356629.htm,4
