省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
重庆,2026,历史,663,663,60,60,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,662,662,8,68,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,661,661,10,78,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,660,660,11,89,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,659,659,8,97,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,658,658,11,108,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,657,657,14,122,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,656,656,10,132,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,655,655,8,140,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,654,654,7,147,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,653,653,11,158,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,652,652,10,168,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,651,651,9,177,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,650,650,12,189,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,649,649,17,206,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,648,648,14,220,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,647,647,15,235,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,646,646,19,254,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,645,645,19,273,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,644,644,20,293,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,643,643,17,310,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,642,642,21,331,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,641,641,24,355,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,640,640,24,379,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,639,639,20,399,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,638,638,27,426,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,637,637,19,445,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,636,636,17,462,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,635,635,23,485,https://www.gk100.com/read_5026883.htm,1
重庆,2026,历史,634,634,30,515,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,633,633,24,539,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,632,632,21,560,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,631,631,25,585,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,630,630,36,621,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,629,629,38,659,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,628,628,41,700,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,627,627,25,725,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,626,626,38,763,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,625,625,32,795,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,624,624,36,831,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,623,623,34,865,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,622,622,48,913,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,621,621,35,948,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,620,620,42,990,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,619,619,57,1047,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,618,618,44,1091,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,617,617,50,1141,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,616,616,45,1186,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,615,615,41,1227,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,614,614,44,1271,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,613,613,55,1326,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,612,612,49,1375,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,611,611,58,1433,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,610,610,69,1502,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,609,609,61,1563,https://www.gk100.com/read_5026883.htm,2
重庆,2026,历史,608,608,52,1615,https://www.gk100.com/read_5026883.htm,2
