省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
重庆,2026,物理,684,684,157,157,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,683,683,22,179,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,682,682,15,194,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,681,681,16,210,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,680,680,18,228,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,679,679,22,250,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,678,678,18,268,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,677,677,27,295,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,676,676,23,318,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,675,675,26,344,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,674,674,28,372,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,673,673,39,411,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,672,672,38,449,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,671,671,23,472,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,670,670,46,518,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,669,669,37,555,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,668,668,40,595,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,667,667,49,644,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,666,666,52,696,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,665,665,50,746,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,664,664,55,801,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,663,663,58,859,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,662,662,50,909,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,661,661,42,951,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,660,660,60,1011,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,659,659,79,1090,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,658,658,66,1156,https://www.gk100.com/read_5026883.htm,1
重庆,2026,物理,657,657,78,1234,https://www.gk100.com/read_5026883.htm,1
