省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
陕西,2026,历史,677及以上,677,8,8,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,676,676,1,9,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,675,675,1,10,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,674,674,3,13,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,673,673,1,14,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,672,672,1,15,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,671,671,4,19,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,670,670,3,22,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,669,669,6,28,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,668,668,5,33,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,667,667,3,36,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,666,666,6,42,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,665,665,5,47,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,664,664,3,50,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,663,663,3,53,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,662,662,9,62,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,661,661,6,68,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,660,660,4,72,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,659,659,7,79,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,658,658,8,87,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,657,657,10,97,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,656,656,12,109,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,655,655,7,116,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,654,654,7,123,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,653,653,10,133,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,652,652,11,144,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,651,651,14,158,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,650,650,9,167,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,649,649,14,181,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,647,647,29,210,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,646,646,10,220,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,645,645,7,227,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,643,643,32,259,https://www.gk100.com/read_19919923.htm,1
陕西,2026,历史,641,641,28,287,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,640,640,15,302,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,639,639,21,323,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,638,638,24,347,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,637,637,23,370,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,636,636,18,388,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,635,635,12,400,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,634,634,21,421,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,633,633,18,439,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,632,632,23,462,https://www.gk100.com/read_19919923.htm,2
陕西,2026,历史,631,631,27,489,https://www.gk100.com/read_19919923.htm,2
