省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
陕西,2026,物理,709,709,13,13,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,708,708,3,16,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,707,707,2,18,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,706,706,2,20,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,705,705,3,23,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,704,704,5,28,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,703,703,5,33,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,702,702,2,35,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,701,701,6,41,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,699,699,14,55,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,697,697,18,73,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,696,696,8,81,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,695,695,10,91,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,694,694,13,104,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,693,693,19,123,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,692,692,14,137,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,691,691,8,145,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,690,690,10,155,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,689,689,14,169,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,688,688,15,184,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,687,687,35,219,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,686,686,20,239,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,685,685,22,261,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,684,684,33,294,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,683,683,33,327,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,682,682,35,362,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,681,681,34,396,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,680,680,28,424,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,679,679,32,456,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,678,678,36,492,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,677,677,34,526,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,676,676,57,583,https://www.gk100.com/read_19919923.htm,1
陕西,2026,物理,675,675,51,634,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,674,674,49,683,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,673,673,52,735,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,672,672,59,794,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,671,671,54,848,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,670,670,56,904,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,669,669,57,961,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,668,668,70,1031,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,667,667,90,1121,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,666,666,86,1207,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,665,665,76,1283,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,664,664,85,1368,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,663,663,85,1453,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,662,662,112,1565,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,661,661,77,1642,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,660,660,97,1739,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,659,659,92,1831,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,658,658,112,1943,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,657,657,101,2044,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,656,656,109,2153,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,655,655,109,2262,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,654,654,117,2379,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,653,653,136,2515,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,652,652,122,2637,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,651,651,131,2768,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,650,650,121,2889,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,649,649,131,3020,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,648,648,139,3159,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,647,647,133,3292,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,646,646,166,3458,https://www.gk100.com/read_19919923.htm,2
陕西,2026,物理,645,645,171,3629,https://www.gk100.com/read_19919923.htm,2
