省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
黑龙江,2026,历史,670,670,15,15,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,669,669,2,17,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,668,668,1,18,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,667,667,2,20,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,666,666,3,23,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,665,665,2,25,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,664,664,0,25,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,663,663,4,29,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,662,662,3,32,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,661,661,3,35,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,660,660,3,38,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,659,659,5,43,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,658,658,3,46,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,657,657,4,50,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,656,656,4,54,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,655,655,6,60,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,654,654,6,66,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,653,653,2,68,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,652,652,3,71,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,651,651,4,75,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,650,650,6,81,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,649,649,10,91,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,648,648,6,97,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,647,647,4,101,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,646,646,10,111,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,645,645,6,117,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,644,644,5,122,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,643,643,6,128,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,642,642,4,132,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,641,641,9,141,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,640,640,8,149,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,历史,638,638,17,166,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,637,637,8,174,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,636,636,4,178,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,635,635,19,197,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,634,634,14,211,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,633,633,13,224,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,632,632,10,234,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,631,631,11,245,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,630,630,12,257,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,629,629,15,272,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,628,628,15,287,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,627,627,19,306,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,626,626,15,321,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,625,625,15,336,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,624,624,10,346,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,623,623,11,357,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,622,622,12,369,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,621,621,12,381,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,620,620,12,393,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,619,619,16,409,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,618,618,18,427,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,617,617,23,450,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,616,616,17,467,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,615,615,19,486,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,614,614,24,510,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,613,613,23,533,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,612,612,23,556,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,611,611,16,572,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,610,610,19,591,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,609,609,25,616,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,608,608,27,643,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,607,607,21,664,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,历史,606,606,26,690,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,605,605,29,719,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,604,604,27,746,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,603,603,25,771,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,602,602,35,806,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,601,601,28,834,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,600,600,23,857,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,599,599,27,884,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,598,598,25,909,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,597,597,24,933,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,596,596,36,969,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,595,595,31,1000,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,594,594,38,1038,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,593,593,41,1079,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,592,592,32,1111,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,591,591,28,1139,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,590,590,32,1171,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,589,589,25,1196,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,588,588,28,1224,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,587,587,37,1261,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,586,586,37,1298,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,585,585,27,1325,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,584,584,36,1361,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,583,583,39,1400,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,582,582,42,1442,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,581,581,46,1488,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,580,580,50,1538,https://www.gk100.com/read_21617273.htm,3
黑龙江,2026,历史,579,579,37,1575,https://www.gk100.com/read_21617273.htm,3
