省份,年份,科类,分数段,分数,同分人数,累计人数,来源网页,图片页码
黑龙江,2026,物理,700,700,17,17,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,699,699,7,24,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,698,698,6,30,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,697,697,7,37,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,696,696,3,40,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,695,695,2,42,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,694,694,5,47,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,693,693,9,56,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,692,692,2,58,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,691,691,6,64,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,690,690,16,80,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,689,689,5,85,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,688,688,6,91,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,687,687,8,99,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,686,686,5,104,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,685,685,10,114,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,684,684,8,122,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,683,683,8,130,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,682,682,12,142,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,681,681,19,161,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,680,680,18,179,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,679,679,13,192,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,678,678,14,206,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,677,677,14,220,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,676,676,16,236,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,675,675,19,255,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,674,674,21,276,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,673,673,15,291,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,672,672,16,307,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,671,671,28,335,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,670,670,24,359,https://www.gk100.com/read_21617273.htm,1
黑龙江,2026,物理,668,668,60,419,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,物理,667,667,20,439,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,物理,666,666,28,467,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,物理,665,665,38,505,https://www.gk100.com/read_21617273.htm,2
黑龙江,2026,物理,664,664,30,535,https://www.gk100.com/read_21617273.htm,2
